;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;59;33959291;JavaScript/JS разработчик;Москва;150000.0;300000.0;Zoon.ru;2019-10-17T09:19:13+0300;От 3 до 6 лет;Полный день;Полная занятость;"О нас Мы IT-компания, миссия которой — облегчить жизнь локальному бизнесу. У нас есть большой проект, внутри которого много сложных задач: мы улучшаем сайт zoon, его мобильную версию, личный кабинет для предпринимателей, CRM для сотрудников и многое другое. Мы не только используем существующие решения, но часто придумываем и внедряем новые. Компания ZOON — компания, которая помогает развиваться локальному бизнесу в России и СНГ. Мы решаем задачи в двух больших сферах: B2B и B2C. Предпринимателям даем все инструменты для продвижения, приводим клиентов, формируем подробную и понятную статистику. Пользователям помогаем выбирать лучшие заведения. Команда В команде frontend-разработки ZOON работают 5 разработчиков разного уровня. Задачи разработчиков описывает тимлид, который получает их напрямую от продуктовых команд: B2B, B2C и монетизации. Сейчас количество интересных и сложных задач увеличилось и нам не хватает опытного специалиста, который смог бы поддерживать существующие проекты в рамках продуктовых задач, развивать и улучшать frontend-часть сайта, а также делиться своей экспертизой с командой. Что предстоит делать:   Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов;   Разрабатывать компоненты на Vue;   Писать современный JavaScript код;   Проводить рефакторинг существующих проектов;   Участвовать в проектах с налаженными процессами разработки;   Для нас главное — желание быстро и качественно решать задачи, улучшать продукт и любить то, что делаешь.   От нашего кандидата ожидаем:   JS на продвинутом уровне: event loop, closures, lexical environment, особенности this, прототипное наследование, особенности V8, ES6/7;   Знать принцип работы REST-приложения;   Опыт написания Unit тестов;   Опыт работы с Git или другими системами контроля версий;   Владение навыками оптимизации загрузки страницы, в т.ч. решения проблем с reflow и repaint;   Способность работать в команде и высокие коммуникативные навыки;   Умение расставлять приоритеты и самостоятельно доводить задачи до финальной стадии;   Уверенное владение и хороший опыт работы хотя бы с двумя MV*-фреймворками (React.js, Vue.js, AngularJS, Ember.js, Backbone.js, Knockout.js и т.д.);   Базовые знания PHP, четкое понимание принципов ООП.   Что мы можем предложить:   официально оформляем с первого дня работы, выплачиваем полностью белую зарплату. Ее размер зависит от ваших навыков;   обращаемся друг к другу на «ты», ходим на работу в удобной одежде, по утрам едим полезные завтраки, на обед — свежие фрукты и овощи;   оплачиваем половину стоимости ДМС, частично компенсируем стоимость парковки в БЦ «Линкор» и ТРЦ «Авиапарк»;   компенсируем посещение профильных конференций и курсов, предлагаем корпоративные скидки на изучение английского языка в Skyeng;   собираем полезные книги в офисе и даем доступ к электронной библиотеке «Манн, Иванов и Фербер»;   компенсируем 15 тыс. рублей для тех, кто работает в Зуне больше трех месяцев и арендует жилье в 30 минутах ходьбы от офиса. Выплачивать эту сумму будем каждый месяц;   частично компенсируем покупку карты в одном из фитнес-клубов: «Зебра» на улице Красноармейская, «Come on Gym» в ТРЦ «Авиапарк» и «Палестра Sport»;   в офисе есть настольный футбол, дартс и PlayStation 4;   каждый из нас увлечен работой, но мы умеем хорошо отдыхать: отмечаем дни рождения коллег и другие праздники, два раза в год подводим итоги работы и веселимся на больших корпоративах.  ";;JS на продвинутом уровне: event loop, closures, lexical environment, особенности this, прототипное наследование, особенности V8, ES6/7. ;Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов. Разрабатывать компоненты на Vue. Писать современный JavaScript код. ;"JavaScript; AngularJS; Git; ООП; REST";2.0
1;49;33895815;Front-end React/Angular Developer;Москва;200000.0;300000.0;Soshace;2019-10-18T09:54:41+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with JavaScript 1+ year of professional experience with React or Angular version 2 and higher A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with JavaScript. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"JavaScript; React; Angular2; HTML; CSS; Node.js; Django Framework";0.0
2;20;33895806;Front-end React/Angular Developer;Санкт-Петербург;200000.0;300000.0;Soshace;2019-10-18T09:54:19+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;Soshace is an agency that joins IT professionals and companies all over the world on long-term remote projects since 2015. You’ll get:   Freedom to choose projects and your geography   Safety with regular payments and reliable clients   Self-development on modern projects in tech stack you have experience with.   What our developers think about the work at Soshace: Company that makes remote dev work easy “The great opportunity to work in an international team and get a cool experience. Well, the opportunity to receive a high salary” “Payment is always on time, so you dont have to worry about it. Great projects variety, you can find really interesting projects to be part of” We’ll be a great team together if you have:  3+ years of professional software development experience with JavaScript 1+ year of professional experience with React or Angular version 2 and higher A strong portfolio of projects in which you have taken part Spoken and written English skills on Upper-Intermediate level and higher.  Here are our basic requirements for you to check if you belong:   We use time-tracker to get information on your working hours   Projects last on average 6-9 months and more with a full-time workload   When the first project ends we’ll find you a second one and after that the third and so on   The hourly rate we offer depends on your qualification level: $20-$30 an hour.   Soshace recruitment team would be happy to tell you more about our opportunity when you send us your CV! ;;"Company that makes remote dev work easy&quot;. 3+ years of professional software <highlighttext>development</highlighttext> experience with JavaScript. 1+ year...";Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours. ;"JavaScript; React; Angular2; HTML; CSS; Node.js; Django Framework";0.0
3;53;33825431;Ведущий программист JS;Казань;160000.0;243000.0;Тензор;2019-09-30T09:57:18+0300;От 3 до 6 лет;Полный день;Полная занятость;"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе.Если вам интересно познакомиться с большими распределенными системами, с мобильной разработкой или поковырять API социальных сетей, научиться работать с большими объемами данных в миллионы записей, чтобы ваше творчество ежедневно использовало в работе миллион пользователей, то мы готовы все это предложить. Мы ждем от Вас:  Отличные знания javascript, опыт работы с фрэймворками; Опыт коммерческой разработки; Умение читать чужой код; Желание и умение писать красивый, структурированный, системный код; Опыт и желание руководить группой; Готовность экспериментировать и изучать новое  Наши условия:  Заработная плата в зависимости от квалификации и уровня ответственности; Оформление по ТК РФ; ДМС после года работы в компании; Курсы английского языка; Премии от 5 до 20% по итогам работы за месяц; Приятные внеофисные плюшки: корпоративные мероприятия и праздники, спорт-клуб. ";;Отличные знания javascript, опыт работы с фрэймворками. Опыт коммерческой разработки. Умение читать чужой код. Желание и умение писать красивый, структурированный...;;"JavaScript; jQuery; CSS; HTML5; PostgreSQL";18.0
4;46;33990743;Backend Программист Node.js, Typescript;Санкт-Петербург;150000.0;220000.0;SmartVat Solutions;2019-10-17T23:50:45+0300;От 3 до 6 лет;Полный день;Полная занятость;Нужен энергичный бэкэнд разработчик для быстро развивающейся компании. Мы занимаемся возвратом НДС для туристов в Великобритании через мобильное приложение https://www.airvat.com Все наши программисты находятся в России на удаленной работе с полной занятостью. Планируем открыть офис в Питере в начале 2020. Все новые сотрудники могут начать удаленно но должны быть готовы перейти на офисный режим после Новогодних праздников. Требования:   Опыт разработки RESTful API   Опыт разработки микросервисов и проектирования микросервисной архитектуры   Образование в области компьютерных или других технических наук   Стек обязательных технологий:   HTTP(S)    Node.js / Express (Nest, Koa)    Typescript   PostgreSQL, Redis   Docker / Kubernetes   Будет плюсом:   Знание git-flow    Jest (Unit/Integration testing, TDD)   React / ReactNative   Опыт работы с облачными технологиями (AWS Lambda, Google Cloud)   Опыт масштабирования, балансировки нагрузки приложений и работа с highload-проектами   Тип занятости:   Полная занятость  ;;Опыт разработки RESTful API. Опыт разработки микросервисов и проектирования микросервисной архитектуры. Образование в области компьютерных или других технических наук. ;;"Typescript; Node.js; PostgreSQL; API; HTTP";1.0
5;29;33903304;Golang developer;Санкт-Петербург;100000.0;180000.0;B2Broker;2019-10-18T12:49:57+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"Международная компания B2Broker — это финтех, разработчик и провайдер технологий для брокерских компаний, банков и инвестиционных фондов. Мы не занимаемся брокерской деятельностью — но предлагаем законченные решения для других компаний. Над чем предстоит работать:   Системы потоковой обработки данных;   С сервис-ориентированной архитектурой;   И конкурентной обработкой.   Наш идеальный соискатель:  Технически грамотен; Обладает аналитическими навыками; Знает структуры хранения данных и алгоритмы работы с ними; Имеет образование в области прикладной математики или информационных систем; Имеет опыт коммерческой разработки на GoLang; Обладает отличным опытом в применении go-рутин, каналов, мьютексов и wait групп; Имеет опыт разработки с применением концепций: конкуртености, lock-free структур и распределённых систем; Владеет опытом написания Unit и интеграционных тестов (Testing); Имеет опыт работы с различными протоколами обмена информацией; Знает SQL и умеет оптимизировать запросы.  Технологии:  GoLang; Postgres / и др. БД; HTTP(S) / UDP / WebSocket / gRPC; Protobuf / JSON / XML; Docker.  Мы предлагаем:  ЗП без задержек; оформление по ТК РФ; ДМС со стоматологией после испытательного срока; частичная компенсация занятий английского языка с частным преподавателем; неограниченный профессиональный рост и возможность работать в развивающейся международной компании; ресурсы на реализацию идей; работу по гибкому графику в уютном офисе. ";"  ЗП без задержек; оформление по ТК РФ; ДМС со стоматологией после испытательного срока; частичная компенсация занятий английского языка с частным преподавателем; неограниченный профессиональный рост и возможность работать в развивающейся международной компании; ресурсы на реализацию идей; работу по гибкому графику в уютном офисе. ";Технически грамотен. Обладает аналитическими навыками. Знает структуры хранения данных и алгоритмы работы с ними. Имеет образование в области прикладной математики...;Системы потоковой обработки данных. С сервис-ориентированной архитектурой. И конкурентной обработкой.;Golang;0.0
6;17;33814609;Фронтенд разработчик в блокчейн компанию;Москва;120000.0;180000.0;Endpass, Inc;2019-10-18T17:20:51+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;"Команда Endpass ищет талантливого Javascript фронтенд разработчика на удаленную работу. Endpass - новый стартап в сфере blockchain. Разрабатываем платформу идентификации на блокчейн. Идея уникальная и очень перспективная. Работа интересная и разнообразная. Мы работаем с последними frontend и блокчейн технологиями: HTML5, Vue, nuxt.js, SASS, Webpack, Ethereum, web3.   Требования:    Отличное знание Javascript, от ES5 до ES2017 3+ года опыт работы веб-разработчика Опыт работы с как минимум одним из популярных JS фреймворков: React, Vue, Angular Понимание принципов интерфейс дизайна, UI/UX и CSS3 Опыт работы с системы контроля версии Git Навыки работы с Unix/ Linux Понимание тестирования по методологии TDD Способность читать и писать документацию на английском    Плюсы:    Опыт разработки сложных, больших приложений Опыт работы с системой сборки Webpack Базовое знание криптовалют, Ефириум и блокчейн технологий, смарт-контрактов Опыт удаленной работы в распределенной команде    Условия:    Гиб​кий график работы из дома; Стабильная заработная плата: оклад + бонус; Нет испытательного срока, сразу начинаем с полной зарплатой; Реальные пе​рспективы профессионального роста.    Уважаемые кандидаты! Мы будем очень рады читать Ваши сопроводительные письма с указанием релевантного опыта работы и примеров кода.";"    Гиб​кий график работы из дома; Стабильная заработная плата: оклад + бонус; Нет испытательного срока, сразу начинаем с полной зарплатой; Реальные пе​рспективы профессионального роста.    Уважаемые кандидаты! Мы будем очень рады читать Ваши сопроводительные письма с указанием релевантного опыта работы и примеров кода.";3+ года опыт работы веб-<highlighttext>разработчика</highlighttext>. Опыт работы с как минимум одним из популярных JS фреймворков: React, Vue, Angular. ;;"JavaScript; Vue.js; Linux; SCSS";0.0
7;83;33603287;Front-end разработчик;Москва;111363.64;180000.0;Finch;2019-10-18T19:27:56+0300;От 1 года до 3 лет;Удаленная работа;Полная занятость;О компании: Finch — аутсорс-продакшн. Мы запускаем и развиваем высоконагруженные мобильные и веб-приложения для брендов с большой аудиторией. Среди наших клиентов: ТНТ, ФК Спартак, ТВ-3, Столото и другие бренды. Аудитория наших приложений — от 500 тыс. до 5 млн. зарегистрированных пользователей. Нам интересно делать крупные, наполненные функциями, качественные продукты, работать с большой аудиторией, развивать свою экосистему, выстраивать внутренние процессы. Обязанности:   Участие в разработке проектов компании   Программирование JavaScript   Верстка HTML5/CSS3   Требования:   Хорошее знание HTML5/CSS3.   Хорошее знание нативного JavaScript (классы, декораторы, async/await).   Понимание и использование на практике стандартов es6, es7.   Базовые знания Node.js и умение пользоваться npm/yarn   Хорошее знание библиотек и фреймворков экосистемы React: ReactRouter, Redux, NextJs, Styled Components, Redux-saga   Умение собирать проект с помощью webpack.   Опыт работы с системами контроля версий, предпочтительно Git.   Уверенное знание технологий RESTful API/Websocket, языка запросов GraphQL   Желание учится новым технологиям и использованию новых языков программирования.   Понимание методологии БЭМ. Представление о работе изоморфного SPA приложения  Знание технологий CORS, представление о вопросах сетевой безопасности (CSRF)    Условия:   Работа над проектами с крупной аудиторией (несколько млн. пользователей)   Оплата труда в зависимости от твоего уровня   Собственный двухэтажный офис с двориком в пешей доступности от м. Электрозаводская   Возможность самореализации и профессионального роста   Отсутствие бюрократии   Время начала рабочего дня обговариваем индивидуально  ;   Работа над проектами с крупной аудиторией (несколько млн. пользователей)   Оплата труда в зависимости от твоего уровня   Собственный двухэтажный офис с двориком в пешей доступности от м. Электрозаводская   Возможность самореализации и профессионального роста   Отсутствие бюрократии   Время начала рабочего дня обговариваем индивидуально  ;Хорошее знание HTML5/CSS3. Хорошее знание нативного JavaScript (классы, декораторы, async/await). Понимание и использование на практике стандартов...;Участие в разработке проектов компании. Программирование JavaScript. Верстка HTML5/CSS3.;"React; JavaScript; CSS3; HTML5; Git; Node.js; SPA";0.0
8;82;33741216;Golang разработчик;Москва;120000.0;170000.0;Rentateam;2019-10-18T11:52:31+0300;От 1 года до 3 лет;Полный день;Полная занятость;Hi  $diff ourVacancy otherVacancies + современный стек + только технологичные продукты + оплачиваем командные зимовки в теплых странах (Тайланд, Бали, Гоа и т.д.), любим путешествовать и совмещать это с работой + опытная команда + инвестируем в обучение, и это правда + levelUP планово раз в год, но обычно чаще + фаундеры разработчики,говорим на одном языке + гибкий график, приход в 11.00-13.00 ок + проекты меняются, поэтому мы пробуем новое и создаем с нуля + мы всегда готовы помочь , в нашей команде открытые и честные отношения + у нас можно вырасти в партнера-разработчика с ЗП выше рыночной     У нас не найдете: -микроменеджмент -бесполезные митинги -бюрократию, регламенты, корпоративные нелепости -кучи руководителей и длинную иерархию менеджмента, все просто и решения принимаются быстро   Кого мы ищем : В первую очередь людей, способных взвешенно принимать решения, стремящихся развиваться, активно участвовать в проектах. Во вторую- знающих весь стек наших технологий. Мы не требуем знания документаций наизусть, главное - это знание базовых основ написания хорошего кода, инженерных практик и адекватное восприятие мира Мы будем рады видеть в команде еще одного человека, живущего по кайдзен, готового к бодрому темпу, любящего открытые и честные отношения в коллективе, желающего проявлять здоровую инициативу. Да и просто хороших людей, с которыми приятно работать.   Почему у нас круто : Нетиповые проекты от клиентов со всего мира. Есть из чего выбрать для реализации сильных скилов и прокачки новых. Самое важное это то, что 95% проектов мы делаем с нуля, на современном стеке, применяя наше актуальное видение архитектуры. Многие ребята освоили дополнительный стек технологий, просто им было интересно взять такой челендж и переключить голову на что-то новое. Аутсорс-команды обязаны быть всегда на передовой в новых решениях, мы одни из первых, кто изучает новые подходы, фремворки, либы. Технологический процесс лучше большинства крупных ИТ-компаний (им тяжелее меняться). От банальных Slack, Jira+Confluence, GitFlow, Agile и XP практик, до Docker, TDD, BDD, CI, CD, DI, SOLID, Blockchain, Apiary. Все это мы применяем на практике, в зависимости от потребностей проекта. Выкладываем свои наработки в opensource и контрибьютим в интересные проекты на Github. Команда, хоть и молодая, но боевая: у большинства наших разработчиков от 7 лет опыта, которым они готовы делиться с коллегами. В команде все технари, мы говорим на одном языке и у нас нет тупых прослоек менеджмента. И мы не против, если ты круто работаешь на удалёнке и знаешь, что это отдельный скилл и челендж. Приветствуем, когда разработчики привносят новое или предлагают улучшения, сами стараемся совершенствовать рабочий процесс и ценим, когда так делают другие,будь то идеи по продукту, коду, техническим процессам, процессам внутри компании. Работаем по свободному (в разумных пределах) графику, а на досуге любим выбираться на совместные велозаезды и футбольчик.   Чем нужно будет заниматься  -Разработка продуктов для среднего и крупного бизнеса -Проекты приходят регулярно, есть возможность менять как проекты, так и стек в целом. Это позволяет не застаиваться и развиваться быстрее продуктовых компаний -Делаем стартапы со всего мира. Есть успешные, разработанные нами с нуля   Что требуется :  Опыт работы от 1 года на Golang Знание и понимание RESTful интерфейсов Опыт совместного использования кода (git + GitFlow) Умение работать в команде Адекватно выбирать инструменты и находить золотую середину Понимание микросервисной архитектуры    Круто, если :   TypeScript + Node.js   опыт работы TDD/BDD тест-фреймворки   знание Docker (большим плюсом будет Kubernetes / Docker Swarm)   опыт в PostgreSQL / Cockroachdb   опыт работы NATS streaming / Kafka   Условия    Заработная плата зависит от вашего уровня   Предпочтительно присутствие в офисе   График мягкий, приход до 13.00 без проблем, главное, круто закрывать свой фронт работ   Уютный просторный офис.Лучший кофе в Москве!   Приятные люди, современные проекты, технические митапы   Возможность участвовать в opensource проектах    ;;кучи руководителей и длинную иерархию менеджмента, все просто и решения принимаются быстро. В первую очередь людей, способных взвешенно принимать решения...;+ levelUP планово раз в год, но обычно чаще. -бесполезные митинги.;"JavaScript; JavaScript; CSS; CSS3; Git";0.0
9;29;33740857;Frontend-разработчик / Senior developer;Новосибирск;120000.0;160000.0;Bazon;2019-10-18T11:43:43+0300;Более 6 лет;Полный день;Полная занятость;"Ты хороший программист и хочешь работать в активно растущей компании? Хочешь быть не просто рядовым сотрудником, выполняющим скучные технические задачки, а полноценным активным членом команды, со своими идеями, которые будут услышаны, и со своим мнением, которое будут уважать? Тогда давай знакомиться! Мы Bazon – развивающаяся быстрыми темпами, специализированная учетная система для продавцов б/у автозапчастей, и мы ищем именно тебя! Мы не зацикливаемся на старых технологиях, постоянно совершенствуемся и используем новые, современные способы для решения поставленных задач. Наши клиенты – это компании, продающие контрактные и б/у автозапчасти. Сейчас мы обслуживаем более 400 компаний от Москвы до Владивостока, и являемся лидером в своей сфере. Тебя ждут интересные задачи, огромное поле для идей и новшеств, дружный коллектив, который не только поддержит, но и направит, если вдруг сбился с курса, а ещё просторный офис с видом на реку, и другие плюшки, которые мы обсудим с тобой при личной встрече! Что мы уже делаем: Развиваем и сопровождаем крупный нагруженный проект с бизнес-логикой на PHP, MySQL и NodeJS, развитым фронтендом на JS, внешними API (сервисы и мобильные приложения). Мы активно используем CI/CD, Docker. И все это работает в Kubernetes.   Что ты точно будешь делать:  Участвовать в проектировании и обсуждении архитектурных решений для будущих и существующих проектов; Разрабатывать компоненты на Vue; Проводить рефакторинг существующих проектов; Организовать работу других фронтенд-разработчиков и взаимодействие с бекенд-разработчиками.    Чего тебе делать не придется  Скучать и раскладывать Косынку от нечего делать :) Сидеть на долгих и нудных совещаниях – все решения мы принимаем быстро.    Требования:  Отличное знание JS; Современные стандарты, паттерны; Опыт организации кода больших проектов без использования фреймворков; Отличное знание любого из фреймворков: Vue.JS, AngularJS, React.JS; Умение разбираться и готовность поддерживать чужой код (даже написанный с использованием jQuery); Опыт работы со сборщиками: webpack или gulp; Опыт работы с Service Worker; Опыт написания тестов.    Уровень заработной платы по результатам собеседования.";;Отличное знание JS. Современные стандарты, паттерны. Опыт организации кода больших проектов без использования фреймворков. Отличное знание любого из фреймворков: Vue.JS...;Проводить рефакторинг существующих проектов. Организовать работу других фронтенд-<highlighttext>разработчиков</highlighttext> и взаимодействие с бекенд-<highlighttext>разработчиками</highlighttext>. Чего тебе делать не придется. ;"JavaScript; Ajax; HTML; CSS3";0.0
10;67;33788630;React Frontend разработчик;Екатеринбург;40000.0;150000.0;NSSoft;2019-10-17T12:37:51+0300;От 1 года до 3 лет;Удаленная работа;Полная занятость;"Приглашаем на работу удаленного Frontend разработчика (Основная технология - React.JS). Ищем человека в команду на фулл тайм удаленно.   Требования:  Знания и опыт в HTML 5, CSS 3, Javascript, React 2+ года Умение работать в команде; Умение самостоятельно работать над задачами, искать, находить и использовать новую информацию Знание git; Быть на связи каждый день;    Будет плюсом:  Участие в open-source проектах собственные проекты или идеи знание английского наличие макбук, знание React Native (необязательно)    Как мы будем работать с Вами:  Оставьте заявку на данную вакансию Письменное короткое Skype интервью Тестовое задание Второе скайп интервью с техническими и нетехническими вопросами с HR Скайп интервью с лайвкоддингом на 30-40 мин. Берем Вас на работу  О нас: NSSoft занимается разработкой современных стартапов, мобильных и веб приложений, высоконагруженных сервисов. Наша специализация: стартапы, saas, сервисы, маркетплейсы, социальные сети, биржи, высоконагруженные проекты и т.д. Технологии, с которыми мы работаем: React, React Native, Ruby on Rails, Node JS. Мы на рынке уже 5 лет, наша команда распределена по всему миру и не ограниченна в передвижениях. Основные преимущества работы у нас: 1. Удаленная работа - не нужно быть привязанным к месту 2. Гибкий график - нужно отрабатывать 40 часов в неделю с пн по пт, в какое время можете выбрать сами 3. Фулл тайм - мы работаем 40 часов в неделю, соответственно Ваша загрузка тщательно спланирована на это время 4. Команда - мы молодые, дружелюбные профессионалы и нанимаем только тех людей, которые близки нам и с кем комфортно работать 5. Отточенный процесс - мы постоянно оттачиваем процесс разработки и сейчас он выглядит комфортно и при этом не дает расслабиться      ";;Знания и опыт в HTML 5, CSS 3, Javascript, React 2+ года. Умение работать в команде. Умение самостоятельно работать...;Второе скайп интервью с техническими и нетехническими вопросами с HR.;"JavaScript; React; удаленная работа";1.0
11;15;33788718;React Frontend разработчик;Омск;40000.0;150000.0;NSSoft;2019-10-17T12:40:29+0300;От 1 года до 3 лет;Удаленная работа;Полная занятость;"Приглашаем на работу удаленного Frontend разработчика (Основная технология - React.JS). Ищем человека в команду на фулл тайм удаленно.   Требования:  Знания и опыт в HTML 5, CSS 3, Javascript, React 2+ года Умение работать в команде; Умение самостоятельно работать над задачами, искать, находить и использовать новую информацию Знание git; Быть на связи каждый день;    Будет плюсом:  Участие в open-source проектах собственные проекты или идеи знание английского наличие макбук, знание React Native (необязательно)    Как мы будем работать с Вами:  Оставьте заявку на данную вакансию Письменное короткое Skype интервью Тестовое задание Второе скайп интервью с техническими и нетехническими вопросами с HR Скайп интервью с лайвкоддингом на 30-40 мин. Берем Вас на работу  О нас: NSSoft занимается разработкой современных стартапов, мобильных и веб приложений, высоконагруженных сервисов. Наша специализация: стартапы, saas, сервисы, маркетплейсы, социальные сети, биржи, высоконагруженные проекты и т.д. Технологии, с которыми мы работаем: React, React Native, Ruby on Rails, Node JS. Мы на рынке уже 5 лет, наша команда распределена по всему миру и не ограниченна в передвижениях. Основные преимущества работы у нас: 1. Удаленная работа - не нужно быть привязанным к месту 2. Гибкий график - нужно отрабатывать 40 часов в неделю с пн по пт, в какое время можете выбрать сами 3. Фулл тайм - мы работаем 40 часов в неделю, соответственно Ваша загрузка тщательно спланирована на это время 4. Команда - мы молодые, дружелюбные профессионалы и нанимаем только тех людей, которые близки нам и с кем комфортно работать 5. Отточенный процесс - мы постоянно оттачиваем процесс разработки и сейчас он выглядит комфортно и при этом не дает расслабиться      ";;Знания и опыт в HTML 5, CSS 3, Javascript, React 2+ года. Умение работать в команде. Умение самостоятельно работать...;Второе скайп интервью с техническими и нетехническими вопросами с HR.;"JavaScript; React; удаленная работа";1.0
