;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;86;33953070;Ведущий/Старший программист (Java Developer);Москва;197000.0;235000.0;Федеральная нотариальная палата;2019-10-17T13:25:19+0300;От 3 до 6 лет;Полный день;Полная занятость;"О нас: Центр инноваций и информационных технологий при Федеральной нотариальной палате занимается разработкой платформы обработки юридических сведений. У нас большая информационная система, которая состоит из множества подсистем. Интегрирована с банками, реестрами и другими высоконагруженными системами. Вокруг нашего решения строится инфраструктура из интернет порталов, личных кабинетов и автоматизированных рабочих мест. Свой ЦОД и Удостоверяющий центр. Наши задачи: Сейчас мы переходим на новую стадию развития наших продуктов и активно разрабатываем новые сервисы. Новые продукты строим на основе микросервисной архитектуры, существующие модернизируем. Основные требования:  Опыт разработки на Java не менее 3-х лет (Spring, Hibernate, JUnit); Опыт разработки сервисов; SQL и NoSQL базы данных; Коммуникабельность, открытость, дружелюбность.  Будет плюсом: Docker; Kafka, RabbitMQ; Oracle, MySQL; Swagger; Gitlab. Если какие-то технологии незнакомы, но есть желание изучить, то мы готовы обсуждать. Мы будем рады разработчикам разных уровней. Обязанности:  Проектирование и разработка интерфейсов приложений/ключевых технологических и прикладных микросервисов платформы; Разработка интеграционных сервисов; Написание автотестов, исправление багов, участие в ревью кода; Выработка предложений по рефакторингу, участие в создании и развитии внутренних стандартов и практик.  Мы предлагаем:  «Белую» заработную плату, оформление по ТК РФ; Ежегодная индексация заработной платы; ДМС после прохождения испытательного срока; 100% оплата больничного после полугода работы; Материальная помощь к отпуску после года работы; Различные программы обучения и повышения квалификации; Комфортный офис в центре Москвы в 5 минутах от метро.   ";"  «Белую» заработную плату, оформление по ТК РФ; Ежегодная индексация заработной платы; ДМС после прохождения испытательного срока; 100% оплата больничного после полугода работы; Материальная помощь к отпуску после года работы; Различные программы обучения и повышения квалификации; Комфортный офис в центре Москвы в 5 минутах от метро.   ";Опыт разработки на Java не менее 3-х лет (Spring, Hibernate, JUnit). Опыт разработки сервисов. SQL и NoSQL базы данных. ;Проектирование и разработка интерфейсов приложений/ключевых технологических и прикладных микросервисов платформы. Разработка интеграционных сервисов. Написание автотестов, исправление багов, участие в...;"Spring Framework; Hibernate ORM; Java; JUnit; ORACLE; Git; kafka; RabbitMQ; Swagger";1.0
1;25;27592983;Программист Java (Junior/Middle/Senior);Екатеринбург;50000.0;150000.0;Прикладные технологии;2019-10-16T12:09:58+0300;Нет опыта;Полный день;Полная занятость;Ищем Java разработчиков всех уровней (Junior/Middle/Senior) для расширения команды в нескольких проектах нашей компании.   Требования к кандидатам:  Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. Понимание RESTful API. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Резюме на русском и английском языках.    Будет плюсом:  Опыт отладки и оптимизации комплексных приложений. Опыт работы с SQL/NoSQL базами. Опыт работы со Spring, Hibernate и другоми современными framework-ами. Разговорный английский язык.    Обязанности:  Разработка back-end приложений на Java с применением современных framework-ов.    Собеседование только после предоставления резюме.    Условия:  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. ;Разработка back-end приложений на Java с применением современных framework-ов.;"Java; Spring Framework; Hibernate ORM; Java; Git";2.0
2;6;29419604;Программист Java (Junior/Middle/Senior);Челябинск;50000.0;150000.0;Прикладные технологии;2019-10-16T12:09:56+0300;Нет опыта;Полный день;Полная занятость;Ищем Java разработчиков всех уровней (Junior, Middle, Senior) для расширения команды в нескольких проектах нашей компании.   Требования к кандидатам:  Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. Понимание RESTful API. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Резюме на русском и английском языках.    Будет плюсом:  Опыт отладки и оптимизации комплексных приложений. Опыт работы с SQL/NoSQL базами. Опыт работы со Spring, Hibernate и другоми современными framework-ами. Разговорный английский язык.    Обязанности:  Разработка back-end приложений на Java с применением современных framework-ов.    Собеседование только после предоставления резюме. В резюме необходимо указать, на какую вакансию претендуете.   Условия:  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;  Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (настольный футбол, аэрохоккей, теннис и т.д.).    О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения.;Высшее техническое образование (допускаются студенты выпускных курсов). Знание ООП, структур данных и алгоритмов, других фундаментальных понятий из сферы ИТ. ;Разработка back-end приложений на Java с применением современных framework-ов.;"Java; Spring Framework; Hibernate ORM; Java; Git";2.0
3;64;32269346;Java-разработчик;Тюмень;30000.0;120000.0;Строительный Двор;2019-10-15T13:38:29+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Общие требования:  опыт коммерческой разработки (не менее 1 года); опыт командной работы.  Требования к стеку:  Java; Spring Framework (Boot, REST, Data-JPA); PostgreSQL.  Будет плюсом:  знание Docker, Kubernetes; опыт коммерческой разработки с использованием Spring; опыт разработки микросервисов; приверженность к чистому коду и к чистой архитектуре; опыт работы с системами управления версий; умение тестировать код (JUnit, Mockito); желание учиться, развиваться, решать бизнес задачи.  Обязанности:  проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска, за год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Опыт коммерческой разработки (не менее 1 года). Опыт командной работы. Java. Spring Framework (Boot, REST, Data-JPA). PostgreSQL. ;Проектирование, разработка, внедрение и сопровождение проектов компании с использованием технологического стека Java, Spring.;"Java; Spring Framework; PostgreSQL; Hibernate; Mockito; JUnit; Docker; Kubernetes";3.0
4;68;33554760;Разработчик поисковых систем (Java);Тюмень;30000.0;100000.0;Строительный Двор;2019-10-15T13:38:29+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Общие требования:  опыт коммерческой разработки (не менее 1 года); опыт командной работы; опыт разработки поисковых систем.  Требования к стеку:  Java; Spring Framework (Boot, REST, Data-JPA); PostgreSQL.  Будет плюсом:  знание Docker, Kubernetes; знание ElasticSearch, Solr ИЛИ Naumen; опыт коммерческой разработки с использованием Spring; опыт разработки микросервисов; приверженность к чистому коду и к чистой архитектуре; опыт работы с системами управления версий; умение тестировать код (JUnit, Mockito); желание учиться, развиваться, решать бизнес задачи.  Обязанности:  проектирование, разработка, внедрение и сопровождение проектов компаниис использованием технологического стека Java, Spring.  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Опыт коммерческой разработки (не менее 1 года). Опыт командной работы. Опыт разработки поисковых систем. Java. Spring Framework (Boot, REST, Data...;Проектирование, разработка, внедрение и сопровождение проектов компании. С использованием технологического стека Java, Spring.;"Java; Spring Framework; PostgreSQL; Hibernate; Mockito; JUnit; Docker; Kubernetes; Git";3.0
5;24;34128678;Java-программист;Казань;40000.0;90000.0;АйТиБрик;2019-10-17T00:16:32+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Наша студия занимается разработкой веб и мобильных приложений. У нас открыта вакансия Java-программиста. Требования: - Знание языка Java на профессиональном уровне,- Опыт работы с технологиями Spring Framework,- Опыт разработки WEB-приложений от 1 года,- Знание основных шаблонов проектирования и умение их применять,- Знания JavaScript, HTML, CSS,- Знание SQL,- Ответственное отношение к работе.   Желательно: - Опыт работы с JS-фреймворками (Vue.js, jquery и подобные).   Обязанности: - Разработка веб приложений,- Написание и сопровождение кода,- Участие в оценке и планировании задач.   Условия:  Мы веселые и дружелюбные, молодой, динамичный коллектив; Стабильно развивающаяся компания. Хорошие условия для профессионального роста; Интересные проекты и задачи; Хороший офис в центре города. График работы: пятидневка с 9.30 до 18.30; Официальное трудоустройство, отпуска, больничные согласно ТК РФ. ";"  Мы веселые и дружелюбные, молодой, динамичный коллектив; Стабильно развивающаяся компания. Хорошие условия для профессионального роста; Интересные проекты и задачи; Хороший офис в центре города. График работы: пятидневка с 9.30 до 18.30; Официальное трудоустройство, отпуска, больничные согласно ТК РФ. ";Знание языка Java на профессиональном уровне. - Опыт работы с технологиями Spring Framework. - Опыт разработки WEB-приложений от 1 года. - ;Разработка веб приложений. - Написание и сопровождение кода. - Участие в оценке и планировании задач.;"SQL; Java; Java EE; JavaScript; HTML; PostgreSQL";2.0
6;52;33936171;Kotlin программист;Санкт-Петербург;0.0;60000.0;BUIDL LLC;2019-10-18T10:49:03+0300;От 1 года до 3 лет;Гибкий график;Проектная работа;"Компания BUIDL - это # современные стек технологии; # интересная предметная область, финансы и блокчейн; # современные архитектурные подходы; # гибкие условия по графику, нет лишнего формализма; свободный подход в общении в коллективе; # разработка технически сложных систем. # разнообразные направления проектов от более близких к “железу” до высоконагруженных и высокодоступных финансовых и информационных сервисов. # крутая и дружная команда, стремительно мчим в будущее , ищем сильных и проактивных игроков, скучно не будет )   Приглашаем программиста-разработчика Kotlin для доработки и переработки Android приложения криптовалютного кошелька-биржи (только Front-End часть, связь с Back по REST API, WSS). Задачи:  Анализ и погружение в существующий проект; Командная доработка приложения (Меняем Kotlin программиста); Подготовка рефакторинга и ребилда приложения; Участие в проектировании    Мы ждем от вас:  Желание решать сложные и нестандартные задачи; Опыт коммерческой мобильной разработки; Понимание работы криптовалют и торговых систем (биржи, фондовые рынки, маркетплейсы)    Условия:   Трудоустройство по ТК РФ   Участие в интересных проектах   Обеспечение всей необходимой техникой   Комфортный офис напротив метро Петроградская   Кухня, завтраки, кофе\чай\сладости\фрукты.   Рост и бонусы   Молодой и дружелюбный коллектив     /Будем благодарны за подробную информацию о себе в отклике/";   Трудоустройство по ТК РФ   Участие в интересных проектах   Обеспечение всей необходимой техникой   Комфортный офис напротив метро Петроградская   Кухня, завтраки, кофе\чай\сладости\фрукты.   Рост и бонусы   Молодой и дружелюбный коллектив     /Будем благодарны за подробную информацию о себе в отклике/;Желание решать сложные и нестандартные задачи. Опыт коммерческой мобильной разработки. Понимание работы криптовалют и торговых систем (биржи, фондовые рынки, маркетплейсы).;Анализ и погружение в существующий проект. Командная доработка приложения (Меняем Kotlin <highlighttext>программиста</highlighttext>). Подготовка рефакторинга и ребилда приложения. Участие в проектировании.;"Android; KOTLIN; Websockets; Git; Atlassian Jira; API; HTML; CSS; Android SDK";0.0
7;70;34034872;Java-программист;Челябинск;60000.0;150000.0;ЧЕЛЯБИНВЕСТБАНК;2019-10-17T10:50:57+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Уважаемые соскатели! Для максимально быстрого рассмотрения вашего резюме к отклику прилагайте образцы исходных текстов.  Обязанности:  Разработка программного обеспечения; Написание микросервисов и сервисов в рамках серверов приложений.  Требования:  Знание Java (Eclipse, IDEA), JDBC, SQL; Опыт написания серверных java-приложений или сервлетов; Опыт работы с какой-либо системой контроля версий (svn, cvs, git); Опыт работы с клиент-серверными базами данных; Понимание работы *NIX-систем; Готовность к сопровождению унаследованного кода, умение тестировать собственнный код; Знания сетевых протоколов и настройки терминального доступа.  Условия:  Сильная команда профессионалов; Программа обучения и наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";"  Сильная команда профессионалов; Программа обучения и наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";Знание Java (Eclipse, IDEA), JDBC, SQL. Опыт написания серверных java-приложений или сервлетов. Опыт работы с какой-либо системой контроля...;Разработка программного обеспечения. Написание микросервисов и сервисов в рамках серверов приложений.;"Java; SVN; SQL; MS SQL; JDBC; Eclipse; Intellij IDEA; Git";1.0
8;72;34034843;Junior Java developer;Челябинск;60000.0;150000.0;ЧЕЛЯБИНВЕСТБАНК;2019-10-17T10:50:57+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Уважаемые соискатели! Для максимально быстрого рассмотрения вашего резюме к отклику на вакансию прикрепляйте образцы исходных текстов. Обязанности:  Разработка программного обеспечения; Написание микросервисов и сервисов в рамках серверов приложений.  Требования:  Знание Java (Eclipse, IDEA), JDBC, SQL; Опыт написания серверных java-приложений или сервлетов; Опыт работы с какой-либо системой контроля версий (svn, cvs, git); Опыт (возможно начальный) работы с клиент-серверными базами данных; Понимание работы *NIX-систем; Готовность к сопровождению унаследованного кода, умение тестировать собственнный код; Знания сетевых протоколов и настройки терминального доступа.  Условия:  Сильная команда профессионалов; Программа обучения и наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";"  Сильная команда профессионалов; Программа обучения и наставничества; Социальный пакет:  - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка.  5-дневная рабочая неделя; Официальное трудоустройство. ";Знание Java (Eclipse, IDEA), JDBC, SQL. Опыт написания серверных java-приложений или сервлетов. Опыт работы с какой-либо системой контроля...;Разработка программного обеспечения. Написание микросервисов и сервисов в рамках серверов приложений.;"Java; SVN; SQL; MS SQL; JDBC; Eclipse; Intellij IDEA; Git";1.0
9;15;33804255;Java-программист;Тюмень;100000.0;110000.0;Стабильный Программный Код;2019-09-27T11:04:34+0300;От 3 до 6 лет;Полный день;Полная занятость;Обязанности:  Доработка и сопровождение серверной части системы приема платежей от населения Разработка и сопровождение серверной части мобильного кошелька  Требования:  Знание основных фреймворков SpringFramework, Hibernate, SpringBoot, Vaadin Принципы сетевого взаимодействия, сетевые протоколы HTTP/HTTPS, XMPP, AMQP Основы микросервисов, виртуализация на базе Docker (docker-compose) CI/CD на базе GitLab Английский письменный (обязательно !!!)  Условия:  Полный рабочий день Белая зарплата Работа в офисе в центре города Небольшой коллектив ;  Полный рабочий день Белая зарплата Работа в офисе в центре города Небольшой коллектив ;Знание основных фреймворков SpringFramework, Hibernate, SpringBoot, Vaadin. Принципы сетевого взаимодействия, сетевые протоколы HTTP/HTTPS, XMPP, AMQP. Основы микросервисов, виртуализация на...;Доработка и сопровождение серверной части системы приема платежей от населения. Разработка и сопровождение серверной части мобильного кошелька.;"Java; Spring Framework; Hibernate ORM; Java; Git";21.0
10;88;32375802;Java-разработчик на проект Cбербанк Бизнес Онлайн;Самара;120000.0;0.0;Сбербанк;2019-10-18T09:49:18+0300;От 3 до 6 лет;Полный день;Полная занятость;"Основное наше направление - это автоматизация кассово - инкассатарской (операции с наличными) деятельности для корпоративных клиентов, которое включает в себя на данный момент: · Улучшение единой фронтальной системы (рабочее место для сотрудников в отделениях) в части проведения кассовых операций. Количество пользователей ~ 42 тыс; · Создание/улучшение функциональности в интернет - банке для корпоративных клиентов (СББОЛ) в части кассовых операций (заказ наличных/электронные чеки с выдачей наличных в различных каналах: отделения/доставка/банкоматы) и самоинкассации (взнос наличных в банкоматах). Количество пользователей ~ 1 млн.; · Создание/улучшение функциональности кассовых продуктов во фронтальной системе для банкоматов (СИРИУС). Пример функциональности: биометрия для самоинкассации, выдача наличных по электронным чекам в банкоматах, идентификация по QR коду/NFC. Задачи:  Разработка на Java - языке в рамках проекта; Оптимизация программного кода; Разработка и внедрение программных продуктов компании согласно требованиям технического задания; Проектирование нового функционала продуктов компании;  Наши требования:  Опыт от 2х лет разработки высоко - нагруженных и отказоустойчивых фронтальных систем. Знание основных методологий разработки программного обеспечения, включая гибкие методологии. Умение разбираться в чужом коде, писать чистый и понятный код для других разработчиков. Высшее техническое образование (хорошая методологическая база). Опыт работы с языками программирования и технологиями: Java, SQL, Spring, Hibernate, Gradle, Git, JUnit. Желательно наличие сертификатов Oracle Certified Java Professional Programmer.     Условия работы:  Официальное оформление по ТК РФ. Белая заработная плата (оклад + годовая премия). Профессиональное обучение, семинары, тренинги, конференции. Современный офис, дружная команда. Полный социальный пакет + корпоративный пакет (ДМС, страхование от несчастных случаев, дисконт-программы от компаний партнеров, корпоративные мероприятия, фитнес, тренажерные залы). Адрес: Самара, Московское шоссе 41.   ";;Умение разбираться в чужом коде, писать чистый и понятный код для других <highlighttext>разработчиков</highlighttext>. Высшее техническое образование (хорошая методологическая база). ;Разработка на Java - языке в рамках проекта. Оптимизация программного кода. Разработка и внедрение программных продуктов компании согласно требованиям технического задания. ;"Java; Spring Framework; Hibernate ORM; Java; Git";0.0
11;74;31289679;Java - разработчик;Самара;130000.0;0.0;Сбербанк;2019-10-18T15:27:05+0300;От 3 до 6 лет;Полный день;Полная занятость;"ПАО «Сбербанк» расширяет команду, которая работает над проектами развития IT блока Финансы. Команда является распределенной: Самара, Москва, Санкт – Петербург.  На Самарской площадке в нашу команду войдут разработчики уровня: senior и middle.  Мы создаем автоматизированные инструменты: для комплексной оценки влияния ключевых решений по управлению балансом Банка, для расчета различных финансовых показателей по управлению ликвидностью Банка, для создания информационных витрин для различных систем Банка. Наш Заказчик – Казначейство Сбербанка, является двигателем цифровой трансформации Банка, а также активно делится экспертизой и технологиями с участниками рынка, тем самым повышает качество управления активами и пассивами не только в Банке, но и в банковской системе страны.   Несколько причин работать именно в нашей команде:  В нашей команде реализуются возможности профессионального и карьерного развития, постоянное изучение чего-то нового, отсутствие рутины и однообразия. Наша команда тесно общается с Заказчиком, и выстраивает свои производственные процессы с применением методологии Agile. Наша команда реализует интересные, сложные и перспективные задачи. Вы окажетесь в центре принятия решений и поймете - как работает Банк! У нашей команды - адекватное и лояльное руководство, проводятся частые регулярные встречи 1-на-1 с руководителем для обмена информацией.  Задачи:  Разработка бэкенд-части высоконагруженной банковской расчетной системы на Java; Разработка интеграционных сервисов и микросервисных компонентов на Java (стандарты JMS, REST API); Разработка гибких расчетных компонентов на Groovy/Kotlin; Написание Unit-тестов; Рефакторинг и оптимизация кода, Code review; Участие в тестировании разработанных компонентов и исправлении дефектов; Участие в подготовке документации; Участие в принятии архитектурных решений и исследовательские задачи;  Мы ожидаем:  Понимание принципов ООП; Опыт коммерческой разработки на Java от 2-х лет;   Уверенное знание Java SE (желательно Java SE 8), Collection, JDBC, Multithreading; Знания и опыт использования: Spring Framework (Spring MVC, Spring Security, Spring JDBC); Опыт написания Unit-тестов (Junit, TestNG); Уверенное знание SQL; Опыт работы с Git, Maven; Чтение технической документации на английском; Умение разбираться в чужом коде; Высшее техническое образование;  Было бы дополнительным плюсом:  Знание основных паттернов проектирования; Знакомство и/или опыт использования Java-фреймворков и библиотек (например, ORM) Опыт работы с Jira, Confluence; Опыт работы в Agile-команде; Опыт работы в высоконагруженных проектах, опыт работы с многопоточностью; Умение подбирать инструменты для решения необходимых задач; Понимание или опыт работы в любых других областях программирования (например, любой опыт фронтенд-разработки);  Мы ценим своих сотрудников и предлагаем:  Работа в IT-департаменте крупнейшего банка России; Стабильный и высокий уровень оплаты труда; Оформление по ТК РФ; Социальный пакет + оплата ДМС, тренажерный зал, ежегодное обучение; Широкий спектр дисконт–программ, скидок и привилегий от компаний-партнеров; Льготное кредитование в Сбербанке – возможность пользоваться премиальными продуктами Банка на специальных условиях; Возможность смещения начала рабочего дня ";;Понимание принципов ООП. Опыт коммерческой разработки на Java от 2-х лет. Уверенное знание Java SE (желательно Java SE 8...;Разработка бэкенд-части высоконагруженной банковской расчетной системы на Java. Разработка интеграционных сервисов и микросервисных компонентов на Java (стандарты JMS, REST...;"Java; Spring Framework; SQL";0.0
12;60;22949683;Java/Groovy разработчик;Екатеринбург;50000.0;150000.0;СКБ ЛАБ;2019-10-18T15:59:59+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;  Чего мы ждем от Вас:  Опыт разработки на Java или Groovy от 1 года. Иметь представление о Grails, JMS, Hibernate, PostgreSQL. Умение работать с системой контроля версий, CI. Знание классических алгоритмов и структур данных. Знание Python/Angular2+/HTML будет плюсом. Стремление повышать собственный уровень профессиональной квалификации. Знание технического английского языка.  От нас условия:  Заработная плата, которая будет радовать (уровень дохода зависит от Ваших навыков и технических знаний). Премии (не только по итогам года). Даем простор в развитии профессиональной мускулатуры, работая вместе с профессионалами. Мы можем доверить Вам участие в развитии наших продуктов, предлагать идеи и технологии. Предлагаем возможность участия в мероприятиях для профессионального развития. Конференции, тренинги, учебные курсы. Обустроим для Вас удобное рабочее место с современной техникой. Компенсируем занятия спортом. Оплатим паркинг, если Вы на машине, а если машины нет, то мы оплатим Ваш проезд на общественном транспорте (дадим безлимитную Е-карту) и припаркуем Ваш велосипед. Мы располагаемся в отличном офисе с великолепным панорамным видом на город. На кофе-поинте Вас всегда будут ждать плюшки и свежий кофе. Мы даже подумали о том, как Вы будете расслабляться в офисе. У нас есть зоны релакса, массажист, душ, кикер, аэрохоккей, боксёрская груша и гимнастический станок. Мы отладили все наши процессы таким образом, чтобы Вас не тревожили вопросы бюрократии.  Мы ценим:  Тех, кто не боится ответственности. Тех, кто работает на результат. Тех, кто не требует микроменеджмента и постоянного менторства. Тех, кто сказал, что все будет готово в пятницу, и финишировал в четверг вечером. Тех, кто готов делиться своим опытом. Красивый код. Чувство юмора :)  Мы живем по agile!  Скрам, канбан... знакомо? Если не знакомо - не страшно, расскажем!  Ждем Вас в нашем офисе! Обсудим больше подробностей. З.Ы.: При любых вопросах - не стесняйтесь звонить или писать.;;Опыт разработки на Java или Groovy от 1 года. Иметь представление о Grails, JMS, Hibernate, PostgreSQL. Умение работать с системой...;;"Java; Spring Framework; Hibernate ORM; Java; Git";0.0
