;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;27;32870957;Android разработчик;Тюмень;50000.0;200000.0;Сервис заказа такси Максим;2019-10-18T14:30:22+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Кто мы: - IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия.   Что у нас есть: - сложный высоконагруженный сервис с миллионами пользователей по всему миру и более 12 миллионов установок в Google Play.   Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID; - имеет опыт разработки на Java или Kotlin для Android; - знает Android SDK, понимает архитектуру Android; - имеет опыт работы с Android Studio, Gradle; - знаком с принципами Material Design; - имеет опыт работы с системами контроля версий Git; - работал с SQL базами данных;   Будем большим плюсом, если: - есть опубликованные Android-приложения (Google Play); - есть опыт коммерческой разработки под Android.   Что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи); - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).";;Мы хотим найти человека, который: - знает ООП и структуры данных, понимает принципы SOLID. - имеет опыт разработки на Java или Kotlin...;;" Android; Android SDK; Java; Kotlin; Git";0.0
1;39;34070463;Разработчик Android;Ростов-на-Дону;60000.0;150000.0;GrowApp Solutions;2019-10-17T13:00:10+0300;От 1 года до 3 лет;Полный день;Полная занятость;В компанию GrowApp Solutions требуются Android разработчики. Мы ищем амбициозных, талантливых разработчиков, желающих обучаться и расти, работать с самыми новыми технологиями, которые предоставляет система Android. Наша компания занимается разработкой мобильных приложений и сопровождающих их веб-приложений. Основными сферами деятельности являются приложения для бизнеса, социальные сети, электронная коммерция. Некоторые из проектов, над которыми ведется работа: 1. Теамо.Ру - самая популярная в России сеть знакомств 2. Winline - официальное приложение для популярной букмекерской конторы 3. BrewApp - молодой стартап из Кремниевой долины, предоставляющий крутое решение для аудио-подкастов И многие другие не менее интересные проекты!   Обязанности: - Разработка Android-приложений - Поддержка существующих проектов - Тестирование собственного кода как вручную, так и автоматическими тестами - Изучение и внедрение новых возможностей Android SDK   Требования: - Знание Kotlin или Java, Android SDK - Опыт клиент-серверного взаимодействия - Опыт создания и/или доработки кастомных элементов управления - Понимание 9-path и dpi, знание принципов Material Design - Понимание сериализации/десериализации, опыт работы с GSON - Опыт работы с основными компонентами андроид-приложения - Понимание внутренней работы с памятью в Android - Умение работать с базами данных - Понимание внутренней организации основных структур данных (массивов, списков, и т. п.) - Желание расти и развиваться в команде профессионалов   Условия: - Трудоустройство по ТК РФ - Оплачиваемые больничные и отпуска - Работа в комфортном офисе - Премии по результатам работы - Интересные проекты и карьерный рост - Чай, кофе и печеньки всегда в наличии.  ; - Трудоустройство по ТК РФ - Оплачиваемые больничные и отпуска - Работа в комфортном офисе - Премии по результатам работы - Интересные проекты и карьерный рост - Чай, кофе и печеньки всегда в наличии.  ;Знание Kotlin или Java, Android SDK. - Опыт клиент-серверного взаимодействия. - Опыт создания и/или доработки кастомных элементов управления. - ;Разработка Android-приложений. - Поддержка существующих проектов. - Тестирование собственного кода как вручную, так и автоматическими тестами. - Изучение и внедрение новых возможностей...;"Android; Android SDK";1.0
2;19;33460141;Android Developer;Самара;80000.0;150000.0;Эквид;2019-10-18T13:31:04+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;Мы помогаем людям начать своё дело в интернете и зарабатывать на нём. Для этого создаём простой и доступный конструктор интернет-магазинов, а в самарском офисе делаем самые лучшие мобильные приложения для управления онлайн-бизнесом. Кого ищем Оперившегося Android-разработчика, который знает Material Design, использует код-ревью, пишет на Kotlin и имеет опыт коммерческой разработки под Android от 2 лет. Идеальный кандидат любит участвовать в обсуждении и создании новых фич. Готов покрывать их тестами и фиксить баги. Что ожидаем  Умение использовать Realm, MVP, Retrofit, RxJava Стремление писать элегантный и расширяемый код Желание оптимизировать рабочие процессы  Что предлагаем Возможность самому распоряжаться своим временем. Можно работать из дома или приходить в офис к обеду, гулять среди рабочего дня, ходить в бассейн или к стоматологу, даже вздремнуть. Инструменты и вдохновение. Новенький Macbook Pro, душ, приставка, теннис, гриль, Волга, пляж и лучшие закаты в городе. Новые друзья — пивовары, бегуны, теннисисты и яхтсмены. Мы работаем как сумасшедшие, гоняем вместе за Волгу, помогаем друг другу переезжать и танцуем до утра.;;Умение использовать Realm, MVP, Retrofit, RxJava. Стремление писать элегантный и расширяемый код. Желание оптимизировать рабочие процессы.;;Разработка ПО;0.0
3;86;33970506;Android разработчик;Тюмень;42500.0;130000.0;Минт Рокет;2019-10-08T09:39:30+0300;От 1 года до 3 лет;Удаленная работа;Полная занятость;"Требования:  Опыт разработки приложений под Android; Понимание принципов ООП и паттернов проектирования; Знание одного из следующих языков: Java, Kotlin; Опыт работы с мобильными ORM (Realm, GreenDAO, Room); Опыт работы с Git; Опыт разработки мобильных клиент-серверных приложений; Умение эффективно использовать сторонние библиотеки; Умение работать в команде; Умение и желание писать чистый и понятный код;  Будет плюсом:  Наличие проектов/кода на GitHub; Наличие опубликованных проектов в Google Play.  Что мы предлагаем:  Работа над крупными проектами для отечественных и иностранных заказчиков; Вы сможете увидеть результаты своей работы практически сразу после выполнения задачи, почувствовать себя действительно важным участником проекта, от работы которого зависит успех всей компании; В зависимости от вашего опыта, возможностей и амбиций мы можем предложить, как простые, так и задачи архитектурного и инфраструктурного характеров; Коллеги, открытые к коммуникациям, которые помогут в работе и адаптации на новом месте; Пятидневная рабочая неделя: с 9:00 до 18:00 (по согласованию можно менять график); Изучение новых технологий на практике; Интересные и сложные задачи; Возможность роста и курирования IT проектов; Кофе, печеньки;   ";;Опыт разработки приложений под Android. Понимание принципов ООП и паттернов проектирования. Знание одного из следующих языков: Java, Kotlin. ;Работа над крупными проектами для отечественных и иностранных заказчиков.;"Android; Kotlin; Java; Unit Testing; Git; Clean Architecture; RxJava; Dagger";10.0
4;87;33473811;Middle Android разработчик;Тюмень;60000.0;110000.0;Этажи, федеральная компания;2019-10-09T11:03:02+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Компания Этажи с 2000 года помогает клиентам найти оптимальное решение при поиске недвижимости, а также, предоставляет комплекс услуг, которые помогут безопасно оформить сделку.Ежемесячно к нам обращаются два миллиона клиентов с вопросами по работе с недвижимостью, а услугами компании пользуются в 8 странах и 87 городах. В компанию Этажи входит ИТ-подразделение ООО ESoft, где команды разрабатывают внутренние сервисы и автоматизированные системы. В подразделении есть разработчики, тестировщики, тех.поддержка, менеджеры продуктов и системные аналитики, всего 130 человек.В команде мобильной разработки 12 человек, они разрабатывают мобильное приложение на IOS и Android. Мы хотим усилить команду новыми разработчиками. Стек используемых технологий в команде Android: Kotlin/Java, RxJava/RxKotlin, Moxy, ObjectBox. У вас получится, если вы:   разрабатываете для платформы Android от 2 лет   уверенно знаете Kotlin/Java, Android SDK   работали с RxJava/RxKotlin, Moxy, JSON, REST API   знакомы с Google Play Services, Firebase   умеете работать с Git и пишете unit тесты   знаете, что значит работать по Agile в продуктовой команде   Мы ищем разработчика, который:   примет участие в разработке клиентского приложения и внутренних сервисов;   примет участие в создании компонентов, будет рефакторить и улучшать текущие решения   сможет создавать новый функционал и принимать участие в развитии CI инфраструктуры   сможет обмениваться опытом, обсуждать и предлагать решения, принимать участие в развитии продукта   сможет попробовать на практике современные технологии и подходы к разработке приложений под Android   Мы предлагаем:   гибкий график работы по согласованию с командой   возможность посещения профильных конференций и обучений за счет компании   профессиональный и карьерный рост, курирования IT проектов   офис возле ТРЦ «Солнечный», на работу — без пробок :)   уровень заработной платы, который зависит от ваших технических знаний и навыков (оклад + задачи по KPI, бонусы за реализованные проекты)  ";   гибкий график работы по согласованию с командой   возможность посещения профильных конференций и обучений за счет компании   профессиональный и карьерный рост, курирования IT проектов   офис возле ТРЦ «Солнечный», на работу — без пробок :)   уровень заработной платы, который зависит от ваших технических знаний и навыков (оклад + задачи по KPI, бонусы за реализованные проекты)  ;Стек используемых технологий в команде Android: Kotlin/Java, RxJava/RxKotlin, Moxy, ObjectBox. Разрабатываете для платформы Android от 2 лет. ;Мы хотим усилить команду новыми <highlighttext>разработчиками</highlighttext>. Примет участие в создании компонентов, будет рефакторить и улучшать текущие решения. Сможет создавать новый...;" Android; Android SDK; Java; Kotlin; Git";9.0
5;54;34109418;Android Developer (Middle);Тюмень;30000.0;100000.0;Строительный Двор;2019-10-16T09:01:40+0300;Нет опыта;Полный день;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  Высшее / неполное высшее образование (техническое / IT); Знание Java обязательно (Kotlin будет плюсом); Знание архитектурных паттернов MVP, MVVM, Clean Architecture; Опыт работы с SQLite, Realm; Опыт работы с RxJava 2, Retrofit, FireBase, Dagger2; Понимание REST API; Опыт работы с Git.  Будет плюсом:  Наличие публикаций в Google Play Опыт написания Unit и UI тестов  Обязанности:  Развитие и поддержка Android приложений;.  Условия:  Официальная заработная плата, уровень обсуждается на собеседовании; Свободный график работы; Официальное трудоустройство; Современный классный офис со своей столовой; Насыщенная корпоративная жизнь; Дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";"  Официальная заработная плата, уровень обсуждается на собеседовании; Свободный график работы; Официальное трудоустройство; Современный классный офис со своей столовой; Насыщенная корпоративная жизнь; Дополнительный официальный день отпуска за каждый год работы в компании.  Стань частью нашей команды !Мы ждём твоё резюме!";Высшее / неполное высшее образование (техническое / IT). Знание Java обязательно (Kotlin будет плюсом). Знание архитектурных паттернов MVP, MVVM, Clean Architecture. ;"Развитие и поддержка Android приложений;.";"Git; SQLite; Java; Kotlin; Realm; RxJava 2; Retrofit; FireBase; Dagger 2; REST API; MVP; MVVM; Clean Architecture";3.0
6;63;32059686;Android разработчик;Тюмень;30000.0;100000.0;Строительный Двор;2019-10-15T07:59:57+0300;От 1 года до 3 лет;Гибкий график;Полная занятость;"Строительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!16 городов, 54 розничных магазинов, более 2 000 сотрудников.У нас микросервисная архитектура и agile подход к разработке,нет менеджеров и начальников, у нас есть самоорганизованные команды!Открытость экспериментам и новым инструментам!Мы любим web и у нас всегда есть интересные задачи! Требования:  высшее / неполное высшее образование (техническое / IT); знание основ программирования под Android; английский язык на уровне чтения и понимания документации; ответственность, нацеленность на результат.  Обязанности:   поддержка/доработка существующей функциональности; поддержка и доработка интерфейсов связи со внешними системами; участие в разработке новой функциональности; оптимизация кода; поддержка пользователей системы.  Условия:  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.    Стань частью нашей команды !Мы ждём твоё резюме!";"  официальная заработная плата, уровень обсуждается на собеседовании; свободный график работы; официальное трудоустройство; современный классный офис со своей столовой; насыщенная корпоративная жизнь; дополнительный официальный день отпуска за каждый год работы в компании.    Стань частью нашей команды !Мы ждём твоё резюме!";Высшее / неполное высшее образование (техническое / IT). Знание основ программирования под Android. Английский язык на уровне чтения и понимания документации. ;Поддержка/доработка существующей функциональности. Поддержка и доработка интерфейсов связи со внешними системами. Участие в разработке новой функциональности. Оптимизация кода. ;"Android; Java; HTML; XML; HTTP";4.0
7;73;33421561;Android разработчик;Новосибирск;50000.0;100000.0;FullStack;2019-10-17T23:58:54+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Требуется Android разработчик для работы в команде над мульти-платформенным продуктом (Android, iOS) в сфере горнолыжного спорта. Продукт свой, никакого аутсорса, поэтому самые высокие требования к качеству кода и приложения в целом. Что из себя представляет продукт и остальные детали расскажем на собеседовании.   Основные требования:  Умение писать качественный ООП код; Знание Kotlin либо возможность быстро его освоить; Способность делать оценки и укладываться в них; Android Studio; RxJava; REST.    Не технические требования:  Английский на уровне чтения/понимания без словаря.    Обязанности и задачи:  Разработка; Поддержание стиля и архитектуры кода; Code review.    Условия работы:  40 часовая рабочая неделя в офисе в Новосибирске (гибкий график). Оформление в соответствии с ТК РФ; Оплачиваемые занятия спортом; Оплачиваемое питание; Гибкий график работы. ";;Умение писать качественный ООП код. Знание Kotlin либо возможность быстро его освоить. Способность делать оценки и укладываться в них. ;Разработка. Поддержание стиля и архитектуры кода. Code review.;" Android; Android SDK; Java; Kotlin; Git";1.0
8;74;33911726;Инженер-программист (Андроид);Санкт-Петербург;60000.0;100000.0;InTheSmart;2019-10-18T17:50:33+0300;От 3 до 6 лет;Полный день;Полная занятость;"Обязанности:  Участие в разработке и развитии наших продуктов для Android; Оптимизация и модификация программных решений для повышение качества работы приложений; Развитие и оптимизация уже разработанных алгоритмов; Выполнять рефакторинг существующего кода; Участвовать в процессе код-ревью.    Требования:  Высшее профессиональное (техническое) образование; Опыт работы в данной области от 3 лет; Навыки разработки программного обеспечения на С/C++, Phyton, Lua, знание алгоритмов и структур данных; Уверенное знание Java и Android SDK; Знание SQL и опыт работы с SQLite; Опыт работы с алгоритмами распознавания и цифровой обработки изображений, системами машинного обучения; Опыт реализации сложных и быстрых UI компонентов; Практические навыки использования Git / SVN; Умение читать (понимать) техническую документацию на английском языке; Ответственность, инициативность, системное мышление, нацеленность на результат, умение работать в коллективе, готовность к изучению новых технологий.    Будет преимуществом:  Знание различных платформ, в частности Linux / Qt, Android (Java); Опыт разработки и применения алгоритмов обработки изображений и компьютерного зрения для коммерческих систем; Опыт реализации проектов ЦОС для ПЛИС; Опыт работы с GPU: OpenCL, CUDA, OpenGL; Хорошая математическая подготовка.    Условия:  Работа в филиале Южнокорейской компании - разработчика медицинской техники; Интересные, перспективные проекты; График работы: 5 / 2; Оформление по ТК РФ; Дружный молодой коллектив; Работа в современном офисе в пешеходной доступности от ст. м. Василеостровская; Полностью официальная заработная плата - обсуждается с кандидатами по результатам собеседования.  Дополнительно:  Возможность поездок в Южную Корею для обмена опытом (при желании сотрудника и согласии руководства головного офиса). ";"  Работа в филиале Южнокорейской компании - разработчика медицинской техники; Интересные, перспективные проекты; График работы: 5 / 2; Оформление по ТК РФ; Дружный молодой коллектив; Работа в современном офисе в пешеходной доступности от ст. м. Василеостровская; Полностью официальная заработная плата - обсуждается с кандидатами по результатам собеседования.  Дополнительно:  Возможность поездок в Южную Корею для обмена опытом (при желании сотрудника и согласии руководства головного офиса). ";Высшее профессиональное (техническое) образование. Опыт работы в данной области от 3 лет. Навыки разработки программного обеспечения на С/C++, Phyton...;Участие в разработке и развитии наших продуктов для Android. Оптимизация и модификация программных решений для повышение качества работы приложений. ;"IAR; Linux; C/C++; RTOS; SVN; Git; Управление проектами; Английский язык; Phyton; Lua; Android; Android SDK";0.0
9;87;34147421;Android developer / Андроид разработчик;Самара;50000.0;70000.0;NEW TECHNOLOGIES LP;2019-10-17T16:47:07+0300;От 1 года до 3 лет;Полный день;Полная занятость;ИТ-компания New Technologies обустраивает штаб квартиру в Самаре. Мы разрабатываем сервис знакомств, в котором пользователю будет удобно и приятно искать новых друзей или свою половинку. Мы ищем Android разработчика, способного брать на себя ответственность, принимать взвешенные решения, активно участвовать в проекте. Обязанности:  Разработка мобильных приложений под Android на языке Java Написание технической документации Участие в обсуждениях по архитектуре и usability  Требования:  Опыт разработки мобильных приложений под Android Знание принципов ООП и шаблонов проектирования Знание английского языка Умение внятно выражать свои мысли устно и письменно. Умение адекватно оценивать сроки на реализацию той или иной задачи. Умения принимать самостоятельные решения. Умение разбираться в чужом коде, наличие навыков документирования кода и рефакторинга.  Условия:  Справедливая зарплата без задержек (два раза в месяц) по результатам собеседования и вашей квалификации. Работа в комфортном офисе с современной техникой и отличным видом на город в минуте ходьбы от транспортной развязки «Поляна им. Фрунзе». Оформление по договору гражданско-правового характера  Преимуществом будет:  Знание Kotlin. Смежные профессиональные навыки. Релевантный опыт работы в ИТ-компаниях. Высокая коммуникативность. ;  Справедливая зарплата без задержек (два раза в месяц) по результатам собеседования и вашей квалификации. Работа в комфортном офисе с современной техникой и отличным видом на город в минуте ходьбы от транспортной развязки «Поляна им. Фрунзе». Оформление по договору гражданско-правового характера  Преимуществом будет:  Знание Kotlin. Смежные профессиональные навыки. Релевантный опыт работы в ИТ-компаниях. Высокая коммуникативность. ;Опыт разработки мобильных приложений под Android. Знание принципов ООП и шаблонов проектирования. Знание английского языка. Умение внятно выражать свои мысли...;Разработка мобильных приложений под Android на языке Java. Написание технической документации. Участие в обсуждениях по архитектуре и usability.;"Java; Android; ООП; Android SDK; Английский язык; Design Patterns";1.0
10;21;33571697;Начинающий android разработчик;Челябинск;25000.0;40000.0;СофтПлюс;2019-10-17T00:02:13+0300;Нет опыта;Полный день;Полная занятость;"Требования– Крепкие знания основ Java и Android;– Опыт работы с с Activity и Service;– Работа в офисе в Челябинске: удалёнки на постоянной основе нет, иногда можно поработать из дома. С нами вы освоите– Retrofit;– GSON;– Picasso;– Stetho;– Mockito;– JUnit;– Espresso;– Farebase;– Swift, по желанию;– применять на практике принципы SOLID и MVP. Учиться предстоит, в основном, самостоятельно, при поддержке опытной команды и с возможностью получать консультации у лучших экспертов Челябинска. Задачи службыРазработка мобильных приложений для проектов zaycev.net, zaycev.fm, mp3.ru, mursic.ru на платформах Android и iOS, включая AndroidTV, Wear OS. В будущем - AppleTV, Android Auto, CarPlay. Условия– Офис открыт с 08.00 до 22.00, выберите своё время работы самостоятельно.– С вас - качество работ, с нас - информация и оборудование по запросу.– Оплачиваем образование: курсы и профильные конференции.– Работаем без жестких дедлайнов и KPI.– Есть возможность договориться о зарплате выше чем у обычного Junior, учитывая ваш опыт.";;Крепкие знания основ Java и Android. – Опыт работы с с Activity и Service. – JUnit. – Swift, по желанию. – применять на практике...;С вас - качество работ, с нас - информация и оборудование по запросу.;"Java; Android";2.0
