;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;79;33753364;PHP developer;Казань;90000.0;180000.0;Treatstock;2019-10-18T19:38:24+0300;От 3 до 6 лет;Гибкий график;Полная занятость;Наша компания Treatstock растет и мы ищем таланты. Тысячи компаний из США, Европы, и Китая уже использует нашу платформу и технологии Индустрии 4.0 Работая в нашей команде вы можете менять мир, испытать себя в новой области, и дальше развивать свои навыки решения нестандартных задач. Мы работаем над улучшением: наших алгоритмов, технологии прогнозирования производства и защиты интеллектуальной собственности в индустрии. Приглашаем вас попробовать свои силы. Здесь вам предстоит работать со сложными, но интересными задачами в окружении опытных коллег. Добро пожаловать в наш офис в Казани. -------- Требования:Опыт web разработки от 3 лет.Хорошее знание PHP, желательно Yii (Middle or Senior PHP developer).Знание языка запросов SQL и опыт работы с реляционными базами данных (обязателен опыт работы с MySQL).Знание языка JavaScript и технологии AJAX‚ JQuery.Знание HTML, CSS. Владение технологией контроля версий Git.Документирование кода на английском языке.Чтение и перевод технической документации на английском языке.Желание изучать новые технологии и средства разработки. -------- Мы предлагаем: Возможность принять участие в разработке мультинационального продукта меняющего мир. Гибкий график работы. Оплата и бонусы. Работа в современном офисе. Чай/кофе, корпоративные мероприятия и наличие интересных коллег. Открытость идеям и умение слышать.; Возможность принять участие в разработке мультинационального продукта меняющего мир. Гибкий график работы. Оплата и бонусы. Работа в современном офисе. Чай/кофе, корпоративные мероприятия и наличие интересных коллег. Открытость идеям и умение слышать.;Хорошее знание PHP, желательно Yii (Middle or Senior PHP <highlighttext>developer</highlighttext>). Знание языка запросов SQL и опыт работы с реляционными базами...;Документирование кода на английском языке.;"Web Application Development; PHP; Разработка ПО; Веб-программирование; HTML; JavaScript; HTML5; SQL; MS SQL; PostgreSQL; C#; Git; MySQL; PHP5; CSS; jQuery; C++; CSS3; Yii; Bootstrap; Start-up project; Ajax; 3ds Max; API";0.0
1;90;33715144;PHP разработчик / Senior PHP developer;Новосибирск;120000.0;160000.0;Bazon;2019-10-17T11:56:39+0300;Более 6 лет;Полный день;Полная занятость;"Ты хороший программист и хочешь работать в активно растущей компании? Хочешь быть не просто рядовым сотрудником, выполняющим скучные технические задачки, а полноценным активным членом команды, со своими идеями, которые будут услышаны, и со своим мнением, которое будут уважать? Тогда давай знакомиться! Мы Bazon – развивающаяся быстрыми темпами, специализированная учетная система для продавцов б/у автозапчастей, и мы ищем именно тебя! Мы не зацикливаемся на старых технологиях, постоянно совершенствуемся и используем новые, современные способы для решения поставленных задач. Наши клиенты – это компании, продающие контрактные и б/у автозапчасти. Сейчас мы обслуживаем более 400 компаний от Москвы до Владивостока, и являемся лидером в своей сфере. Тебя ждут интересные задачи, огромное поле для идей и новшеств, дружный коллектив, который не только поддержит, но и направит, если вдруг сбился с курса, а ещё просторный офис с видом на реку, и другие плюшки, которые мы обсудим с тобой при личной встрече!   Что мы уже делаем! Развиваем и сопровождаем крупный нагруженный проект с бизнес-логикой на PHP, MySQL и NodeJS, развитым фронтендом на JS, внешними API (сервисы и мобильные приложения). Мы активно используем CI/CD, Docker. И все это работает в Kubernetes.   Что ты точно будешь делать:  Решать задачи самого разного плана: начиная от исправления небольшого бага до разработки и внедрения сложных бизнес-процессов компании; Рефакторить, оптимизировать и искать узкие места в уже существующем коде; Предлагать и обсуждать идеи, внедрять свои собственные решения.    Чего тебе делать не придется:  Скучать и раскладывать Косынку от нечего делать :) Сидеть на долгих и нудных совещаниях – все решения мы принимаем быстро.    Требования:  Опыт разработки проектов на PHP + MySQL не менее 5 лет; Знание любого современного фреймворка (Yii2, Laravel, Symfony); Понимание принципов построения HighLoad-сервисов с высоким SLA; Хорошее знание любой СУБД (MySQL, PostgreSQL и т.д.); Понимание и опыт применения паттернов проектирования (понимание принципов SOLID и MVC); Знание UNIX-подобных ОС (уровень продвинутого пользователя); Опыт командной разработки с использованием Git или Mercurial; Опыт разработки коммерческих продуктов; Ориентация на результат, а не процесс.    Условия:  Официальное трудоустройство; Работа в небольшой команде; Просторный офис с видом на реку; Современное рабочее место; Гибкий график работы; Только полная занятость и работа в офисе; Перспективы для профессионального и карьерного роста.    Уровень заработной платы по результатам собеседования.";"  Официальное трудоустройство; Работа в небольшой команде; Просторный офис с видом на реку; Современное рабочее место; Гибкий график работы; Только полная занятость и работа в офисе; Перспективы для профессионального и карьерного роста.    Уровень заработной платы по результатам собеседования.";Опыт разработки проектов на PHP + MySQL не менее 5 лет. Знание любого современного фреймворка (Yii2, Laravel, Symfony). ;Решать задачи самого разного плана: начиная от исправления небольшого бага до разработки и внедрения сложных бизнес-процессов компании. ;"PHP; HTML; MySQL; CSS; XML; jQuery; JavaScript; Ajax";1.0
2;37;33754183;Middle PHP-разработчик;Новосибирск;100000.0;150000.0;Jump Taxi;2019-10-19T03:14:10+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Привет! О тебе Предлагаем тебе присоединиться к команде разработчиков-новаторов, напрямую влиять на разрабатываемый продукт, искать интересные решения задач в программной разработке, вдохновлять жизнь в сложный, красивый и действительно полезный продукт среди пользователей по всей России. Знаешь больше других? Внедряй свои идеи и наработки, оптимизируй продукт, изучай конкурентов и делай лучшее и современное решение на рынке. Окружи себя единомышленниками и теми, кто поддержит твоё стремление делать топовые решения в индустрии. Делай больше и круче, используй свои возможности. О нас Jump Taxi — сервис сопровождения современного таксопарка. Каждый день мы создаем, тестируем и совершенствуем цифровые продукты для бизнеса такси и автовладельцев. Миссия проекта — сделать услуги пассажирских перевозок в России приятными, безопасными и недорогими. Команда проекта — новаторы, сплоченная группа специалистов. Мы создаем идейные, нужные и работающие продукты, ищем новые возможности и сферы, в которых можем предложить себя миру. Сегодня мы предлагаем тебе присоединиться к команде, проявить себя и свои знания, опыт и умения для решения задач и развития наших проектов. Кого ищем PHP разработчиков middle уровня с опытом работы по специальности от года.Что точно нужно уметь:  Проектировать базы данных в НФ и писать быстрые SQL запросы; Работать хотя бы с одним PHP фреймворком и ORM (мы работаем с Laravel) Идеально понимать принципы ООП и использовать их на практике; Работать с GIT или другой системой управления версиями; Писать чистый и понятный код, покрытый тестами и документацией.  Условия:  Интересный современный проект на микросервисной архитектуре без легаси кода; Просторный светлый офис в центре города. 5 минут от станции Маршала Покрышкина; Возможность переезда и работы в офисе в Калининграде; Ежемесячная белая зарплата без задержек; Амбициозные задачи и цели; Возможность обучаться за счет компании; Официальное трудоустройство; Опытная команда по разработке и сопровождению продукта.  Видишь себя среди нас? Присылай своё резюме и сопроводительное письмо на почту или звони нам в студию.";"  Интересный современный проект на микросервисной архитектуре без легаси кода; Просторный светлый офис в центре города. 5 минут от станции Маршала Покрышкина; Возможность переезда и работы в офисе в Калининграде; Ежемесячная белая зарплата без задержек; Амбициозные задачи и цели; Возможность обучаться за счет компании; Официальное трудоустройство; Опытная команда по разработке и сопровождению продукта.  Видишь себя среди нас? Присылай своё резюме и сопроводительное письмо на почту или звони нам в студию.";PHP <highlighttext>разработчиков</highlighttext> middle уровня с опытом работы по специальности от года. Что точно нужно уметь: Проектировать базы данных в НФ...;Писать чистый и понятный код, покрытый тестами и документацией. Опытная команда по разработке и сопровождению продукта.;"Git; MySQL; PHP";0.0
3;93;33932267;PHP-программист;Тюмень;80000.0;140000.0;Egamings, филиал г. Псков;2019-10-04T17:48:13+0300;От 3 до 6 лет;Полный день;Полная занятость;"Компания eGamings (г. Рига, Латвия) возобновляет набор PHP-разработчиков для работы в офисе в г. Тюмень. Компания eGamings является одним из самых инновационных разработчиков игровых платформ в мире и поставщиком надежных, готовых к эксплуатации игровых систем. Мы предлагаем решения White label, игры топовых игорных провайдеров через единую интеграцию, лицензирование, банковские и другие услуги, а также готовые решения под ключ. С 2008 года мы занимаем лидирующие позиции в сфере разработки онлайн казино. Мы гордимся тем, что предлагаем нашим клиентам продукт максимально высокого качества и устанавливаем долгосрочные взаимовыгодные партнерские отношения с лучшими и самыми солидными операторами в мире. Head-office нашей компании находится в Риге (Латвия). Открыты филиалы в нескольких городах России, в том числе в Тюмени. Требования:  Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП; Основы Debian/Ubuntu Linux на уровне пользователя; Плюсом будет знание Node.js, CMS WordPress, Bootstrap 3, Angular js, Redis;    Обязанности:    Поддержка и написание новых модулей для внутренних web-приложений компании;    Условия:    Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 80`000 до 140000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала;    Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам в лучших ресторанах города Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве";"    Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 80`000 до 140000 рублей (в зависимости от уровня программиста);    Собеседование:    Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала;    Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом.   В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам в лучших ресторанах города Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве";Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП. Основы Debian/Ubuntu Linux на уровне пользователя. ;Поддержка и написание новых модулей для внутренних web-приложений компании. Письменный тест (вопросы php, sql -основные html, css, js - дополнительные...;"PHP; MySQL; PHP5; HTML5; JavaScript; Git; ООП";14.0
4;17;34166317;PHP-программист;Екатеринбург;60000.0;130000.0;Топлайнер;2019-10-18T16:01:09+0300;От 1 года до 3 лет;Полный день;Полная занятость;Обязанности: Разработка модулей для сайта на 1C Bitrix, Разработка ПО, развитие существующих проектов, тех. поддержка корпоративных программ. Требования: Хорошее знение 1C Bitrix. Умение быстро включиться в проект, ответственность, обучаемость. Хороший опыт работы. Уверенное знание PHP (5,7), Mysql, желательно знание API Yandex карт, верстки на основе современных фреймворков. Условия: Офис в центре города. Зарплата без задержек. Полный рабочий день, небольшой коллектив, кофе и плюшки. Возможно проектная работа (по договоренности).; Офис в центре города. Зарплата без задержек. Полный рабочий день, небольшой коллектив, кофе и плюшки. Возможно проектная работа (по договоренности).;Требования: Хорошее знение 1C Bitrix. Умение быстро включиться в проект, ответственность, обучаемость. Хороший опыт работы. Уверенное знание PHP (5...;Обязанности: Разработка модулей для сайта на 1C Bitrix, Разработка ПО, развитие существующих проектов, тех. поддержка корпоративных программ.;"1С-Битрикс; PHP; MySQL; HTML5; jQuery; Yandex Maps API; CSS";0.0
5;64;33864441;PHP developer (со знанием английского языка);Омск;90000.0;130000.0;Jivosite;2019-10-17T10:07:49+0300;От 1 года до 3 лет;Удаленная работа;Полная занятость;Как минимум треть жизни мы проводим на работе. Так почему бы не проводить это время с пользой и удовольствием? JivoSite — то самое место, где это возможно. Мы разрабатываем полезный продукт: бизнес-мессенджер для общения c клиентами в различных каналах (соцсети, мессенджеры, почта, чат на сайте) через одно приложение. JivoSite – это 250 тысяч довольных бизнесов по всему миру и миллионы их счастливых клиентов. JivoSite — это высоконагруженный сервис: 3,5 млн сообщений в сутки, 13 млн чатов в месяц, 150 млн показов виджета в сутки, 1 млн одновременных коннектов, все это крутится на 200+ серверах. Скучать не придется, сложных интересных задач много. Это профессиональная и дружная команда — 140 человек по всему миру, коллеги из США, Европы, Бразилии, Турции, Индии и других стран. Это полностью распределенная команда — не нужно тратить время на походы в офис, ваше рабочее место там, где вы сами пожелаете: в удобном домашнем кресле или на берегу теплого океана. Основа нашего успеха – крутые и заряженные на результат специалисты, если вы готовы развиваться и менять мир, то нам по пути! Мы ищем талантливого PHP developerа со свободным английским языком в highload проект Вам предстоит:  · Разрабатывать и совершенствовать внутренние сервисы компании · Принимать участие в разработке сервисов для клиентов · Самостоятельно и с командой вырабатывать архитектурные решения · Проводить рефакторинг и ревью кода · Самоорганизовываться для продуктивной работы из дома без постоянного контроля Мы ожидаем, что вы: · Знаете PHP - сильные и слабые стороны языка · Понимаете MySQL (сложные запросы, оптимизация) · Понимаете базовые принципы верстки · Работали с системами контроля версий · Обладаете успешным опытом разработки web-приложений · Умеете про интеграции со сторонними системами (CRM, CMS, платежные системы, соц. сети и пр.) · Свободно говорите на английском языке Круто, если: · Есть опыт работы с Symfony · Есть опыт разработки плагинов под CMS системы · Есть опыт удаленной работы Мы предлагаем: · Минимум бюрократии, максимум самостоятельности · Белую заработную плату, оформление по ТК РФ · ДМС, предоставляем и для региональных сотрудников · Удаленную фулл-тайм работу в стабильной компании · Корпоративные мероприятия (как правило, путешествие с командой на 1-2 недели за счет компании); · Минимум бюрократии, максимум самостоятельности · Белую заработную плату, оформление по ТК РФ · ДМС, предоставляем и для региональных сотрудников · Удаленную фулл-тайм работу в стабильной компании · Корпоративные мероприятия (как правило, путешествие с командой на 1-2 недели за счет компании);Понимаете MySQL (сложные запросы, оптимизация). Понимаете базовые принципы верстки. Работали с системами контроля версий. Обладаете успешным опытом разработки web-приложений. ;Разрабатывать и совершенствовать внутренние сервисы компании. Принимать участие в разработке сервисов для клиентов. Самостоятельно и с командой вырабатывать архитектурные решения. ;"PHP; Symfony; MySQL; API; Английский язык";1.0
6;79;33864440;PHP developer (со знанием английского языка);Челябинск;90000.0;130000.0;Jivosite;2019-10-17T10:07:49+0300;От 1 года до 3 лет;Удаленная работа;Полная занятость;Как минимум треть жизни мы проводим на работе. Так почему бы не проводить это время с пользой и удовольствием? JivoSite — то самое место, где это возможно. Мы разрабатываем полезный продукт: бизнес-мессенджер для общения c клиентами в различных каналах (соцсети, мессенджеры, почта, чат на сайте) через одно приложение. JivoSite – это 250 тысяч довольных бизнесов по всему миру и миллионы их счастливых клиентов. JivoSite — это высоконагруженный сервис: 3,5 млн сообщений в сутки, 13 млн чатов в месяц, 150 млн показов виджета в сутки, 1 млн одновременных коннектов, все это крутится на 200+ серверах. Скучать не придется, сложных интересных задач много. Это профессиональная и дружная команда — 140 человек по всему миру, коллеги из США, Европы, Бразилии, Турции, Индии и других стран. Это полностью распределенная команда — не нужно тратить время на походы в офис, ваше рабочее место там, где вы сами пожелаете: в удобном домашнем кресле или на берегу теплого океана. Основа нашего успеха – крутые и заряженные на результат специалисты, если вы готовы развиваться и менять мир, то нам по пути! Мы ищем талантливого PHP developerа со свободным английским языком в highload проект Вам предстоит:  · Разрабатывать и совершенствовать внутренние сервисы компании · Принимать участие в разработке сервисов для клиентов · Самостоятельно и с командой вырабатывать архитектурные решения · Проводить рефакторинг и ревью кода · Самоорганизовываться для продуктивной работы из дома без постоянного контроля Мы ожидаем, что вы: · Знаете PHP - сильные и слабые стороны языка · Понимаете MySQL (сложные запросы, оптимизация) · Понимаете базовые принципы верстки · Работали с системами контроля версий · Обладаете успешным опытом разработки web-приложений · Умеете про интеграции со сторонними системами (CRM, CMS, платежные системы, соц. сети и пр.) · Свободно говорите на английском языке Круто, если: · Есть опыт работы с Symfony · Есть опыт разработки плагинов под CMS системы · Есть опыт удаленной работы Мы предлагаем: · Минимум бюрократии, максимум самостоятельности · Белую заработную плату, оформление по ТК РФ · ДМС, предоставляем и для региональных сотрудников · Удаленную фулл-тайм работу в стабильной компании · Корпоративные мероприятия (как правило, путешествие с командой на 1-2 недели за счет компании); · Минимум бюрократии, максимум самостоятельности · Белую заработную плату, оформление по ТК РФ · ДМС, предоставляем и для региональных сотрудников · Удаленную фулл-тайм работу в стабильной компании · Корпоративные мероприятия (как правило, путешествие с командой на 1-2 недели за счет компании);Понимаете MySQL (сложные запросы, оптимизация). Понимаете базовые принципы верстки. Работали с системами контроля версий. Обладаете успешным опытом разработки web-приложений. ;Разрабатывать и совершенствовать внутренние сервисы компании. Принимать участие в разработке сервисов для клиентов. Самостоятельно и с командой вырабатывать архитектурные решения. ;"PHP; Symfony; MySQL; API; Английский язык";1.0
7;67;33674251;PHP-разработчик;Новосибирск;100000.0;130000.0;Восток Инновации;2019-10-16T13:43:07+0300;От 3 до 6 лет;Гибкий график;Полная занятость;"Мы делаем CRM систему по модели SAAS, которая помогает бизнесу в сфере образования. Она автоматизирует добрую часть рутинных процессов (это точно), снимает головную боль и нормализует сон (это не точно). У нас небольшая, дружная и эффективная команда, поэтому мы занимаем лидирующие позиции среди конкурирующих CRM для образования. Мы ищем разработчика PHP, имеющего навыки работы с фреймворком Yii2. Если у вас другой, но релевантный опыт — все равно пишите. От нас:  Уютный офис в тихом центре, комфортное рабочее место; Качественно спроектированная сложная архитектура, highload; Отлично написанный код и продуманные стили кодирования; Дружественная атмосфера в коллективе;  От вас:  Знание PHP7, понимание ООП и MVC; Опыт работы с фреймворком Yii2; Ваша ОС — Linux; ";;От вас: Знание PHP7, понимание ООП и MVC. Опыт работы с фреймворком Yii2.;Ваша ОС — Linux.;"PHP; Git; JavaScript; MySQL; Yii; PHP7";2.0
8;37;33874900;Программист PHP;Санкт-Петербург;60000.0;100000.0;Вебдока;2019-10-17T11:06:18+0300;Нет опыта;Удаленная работа;Полная занятость;Требования: Грамотный код php, (уровень от мидла). Знание сопутствующих технологий. Опыт разработки на Yii2, Symfony на худой конец Битрикс ) Наличие или возможность быть оформленным ИП. Условия: Удаленная работа, полная занятость. Относительно свободный график работы. Сложные, долгоиграющие проекты без горящих дедлайнов. Внятная постановка задач тимлидом.  ; Удаленная работа, полная занятость. Относительно свободный график работы. Сложные, долгоиграющие проекты без горящих дедлайнов. Внятная постановка задач тимлидом.  ;"Грамотный код php, (уровень от мидла). Знание сопутствующих технологий. Опыт разработки на Yii2, Symfony на &quot;худой конец&quot; Битрикс ). ";Внятная постановка задач тимлидом.;"1С-Битрикс; Yii; Symfony";1.0
9;13;34158603;Программист PHP;Екатеринбург;70000.0;100000.0;ТриниДата;2019-10-18T11:35:39+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Компания ТриниДата - лидер российского рынка интеллектуальных систем, основанных на онтологиях. Мы работаем с крупнейшими федеральными заказчиками, ведем активную научную и популяризаторскую деятельность. Нам требуется квалифицированный разработчик для работы в проектах по созданию современных корпоративных автоматизированных систем для известных федеральных компаний. Ищем тех, кто не равнодушен к результатам своего труда и готов решать действительно важные функциональные задачи, приобрести опыт выполнения реальных проектов для серьезных заказчиков. Наши текущие проекты:- Единая цифровая платформа крупнейшей промышленной компании России;- Логическая витрина данных для обработки геолого-геофизической информации;- Ситуационный центр субъекта РФ;- Система управления знаниями крупной инжиниринговой организации;- Разработка собственных продуктов компании.   Требования: Сильное алгоритмическое и логическое мышление, готовность осваивать новые технологии (работу с графовой СУБД, онтологии). Работа с git. Крайне желательно знакомство с MongoDB, PostgreSQL, приветствуется опыт с Vue, Docker, Kubernetes, CI/CD. Также рассматриваем кандидатов, готовых работать на Node.js.Широкий кругозор, готовность погружаться в особенности разных предметных областей, рассматривать задачи не только с точки зрения написания кода; участвовать в поиске оптимальных решений.Высокая ответственность и дисциплина.   Обязанности: Разработка корпоративного ПО в команде.Широкий спектр функциональных задач: сервисы, пользовательские интерфейсы, интеграция с различными источниками данных, обработка данных (в т.ч. потоков данных IoT, интеграция с сервисами на основе нейросетей и машинного обучения, машиной логического вывода и др.).   Условия работы: Полная занятость, стабильная з/п, официальное оформление. Удобный график работы: 3 дня в офисе, 2 дня удаленно (по желанию). Современный офис в центре города, с террасой и видом на реку.Зарплата обсуждается в зависимости от квалификации.";;Ищем тех, кто не равнодушен к результатам своего труда и готов решать действительно важные функциональные задачи, приобрести опыт выполнения реальных...;Логическая витрина данных для обработки геолого-геофизической информации. - Разработка собственных продуктов компании. Разработка корпоративного ПО в команде. Широкий спектр функциональных...;"PHP; JavaScript; PostgreSQL; MongoDB; Git";0.0
10;49;34016037;PHP-программист;Новосибирск;60000.0;90000.0;Бизнес Решения;2019-10-16T09:37:17+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;"Крупному порталу о недвижимости требуется PHP-программист на удаленку! Нам нужен самостоятельный профи с высоким уровнем ответственности и самоконтроля. Стек технологий:  php7 mysql redis mongoDB yii2 git symfony  Основные задачи:  разработка и поддержка функциональных частей проекта; разработка и покрытие тестами отдельных участков; профилирование и отладка сложных участков.  Для нас важно:  опыт разработки порталов; уверенные знания PHP7, MySQL; умение работать в команде и разбираться в чужом коде.  Условия:  Работа удаленная, полная занятость; Выплата заработной платы на личный банковский счет; Испытательный срок — 2 месяца; График работы: 8-ми часовой рабочий день, 5 дней в неделю, основное время с 9:00 до 17:00 мск. быть на связи Зарплата обсуждается по итогам собеседования с Team-leader. ";"  Работа удаленная, полная занятость; Выплата заработной платы на личный банковский счет; Испытательный срок — 2 месяца; График работы: 8-ми часовой рабочий день, 5 дней в неделю, основное время с 9:00 до 17:00 мск. быть на связи Зарплата обсуждается по итогам собеседования с Team-leader. ";Опыт разработки порталов. Уверенные знания PHP7, MySQL. Умение работать в команде и разбираться в чужом коде.;Разработка и поддержка функциональных частей проекта. Разработка и покрытие тестами отдельных участков. Профилирование и отладка сложных участков.;"MySQL; MongoDB; Git; Yii; Redis; PHP";2.0
11;65;33876500;PHP-разработчик (Laravel);Новосибирск;70000.0;90000.0;Сайтсофт;2019-10-17T11:44:23+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Компания «Сайтсофт» — один из признанных лидеров рынка в области разработки IT-решений для государственных организаций. Компания основана в 2005 году в Екатеринбурге. Наши основные направления деятельности: создание и поддержка интернет-проектов государственных организаций и крупного бизнеса, разработка мобильных приложений, продвижение в социальных сетях. Коллектив компании состоит из более 150 высококвалифицированных специалистов, работающих в офисах Москвы и Екатеринбурга. С чем работать?  Высоконагруженные порталы (более 1 млн посетителей в сутки); информационные системы (программно-аппаратные комплексы, API для сервисов, видеотрансляции, внутренние корпоративные порталы); системы документооборота и медиахранилищ; бэкенды для мобильных приложений; интеграция и поддержка сторонних решений.    Наш стек технологий:  PHP 7+, JavaScript(+ES6), Golang; Elasticsearch/ELK, MySQL, PostgreSQL, Cassandra; CI/CD, Selenium; RabbitMQ, Redis и пр.  Frontend-разработка у нас живет отдельно. Используются:  ES6, VueJS, webpack / grunt / gulp LESS / SASS / Stylus  Требования:  опыт разработки на одном из фреймворков: Laravel, Yii, Kohana или Symfony; чистый читабельный код; понимание основ оптимизации кода на высоконагруженных проектах; умение читать документацию и разбираться в новых технологиях.  Желательно:  опыт работы командной разработки; плотное знакомство с фронтендом: JS, VueJS.  Со своей стороны предлагаем:  современный офис на Коммунистической, 40; гибкий рабочий график с началом работы с 8:00 до 12:00; полностью белая заработная плата. Уровень окладной части обсуждается индивидуально в зависимости от профессиональных компетенций; ежегодная солидная премия по итогам работы; ежегодный пересмотр заработной платы по результатам работы; возможности для профессионального и карьерного развития; качественное планирование вашей работы. Вы будете знать, чем вы будете заниматься через день, неделю, месяц; работа над востребованными продуктами, которыми пользуются миллионы граждан нашей страны.  Среди наших проектов:   Интернет-портал МВД России   Интернет-портал МЧС России   ФССП России   и множество других   Мы НЕ занимаемся разработкой простых коммерческих сайтов, визиток и т.д. Для нас разработка - это множество интеграционных решений, использование современных технологий, высоконагруженные проекты и сложные задачи. Мы понимаем ценность качественного кода и используемых решений и применяем весь спектр технологий для достижения поставленных целей. Мы поощряем инициативность, ответственность, желание развиваться и совершенствоваться. Мы также высоко ценим позитивное мышление и доброжелательность. Наш основной потенциал - это наши сотрудники. Работа в нашей жизни занимает значительное количество времени и мы делаем все для того, чтобы каждый сотрудник чувствовал себя комфортно. Минимум бюрократии - максимум человеческого отношения. Присоединяйтесь!";;Опыт разработки на одном из фреймворков: Laravel, Yii, Kohana или Symfony. Чистый читабельный код. Понимание основ оптимизации кода на высоконагруженных...;Высоконагруженные порталы (более 1 млн посетителей в сутки). Информационные системы (программно-аппаратные комплексы, API для сервисов, видеотрансляции, внутренние корпоративные порталы). ;"laravel; php7; Redis; PHP";1.0
12;29;34142078;PHP-программист на Битрикс;Самара;20000.0;80000.0;Студия Варнофф;2019-10-17T14:02:49+0300;От 3 до 6 лет;Полный день;Полная занятость;"Студия Варнофф – интернет-агентство полного цикла – ищет в свою команду PHP программиста на Битрикс с опытом работы. Мы на самарском рынке с 2001 года. За это время мы приобрели большой опыт, постоянно развивались, модернизировали и совершенствовали действующие направления. В числе наших клиентов: - крупные промышленные предприятия; - успешные коммерческие компании; - строительные компании и др. Требуемый опыт работы: 3–6 лет (рассмотрим кандидатов с меньшим опытом, но огромным желанием учиться и работать) Требования: - Опыт работы с PHP (желательно ООП); - JS (знание jQuery); - Знания HTML\CSS; - Сертифицированный разработчик 1C-bitrix. Мы предлагаем: - работу в крупной стабильной компании; - сложные и интересные проекты, которыми можно гордиться; - реальную возможность карьерного роста; - работу в молодом дружном коллективе; - чай-кофе в нашем офисе – в неограниченном количестве. Итоговая зарплата определяется по результатам собеседования в зависимости от вашей квалификации. Условия: - Полный рабочий день, 5/2 - Полная занятость Ключевые навыки: PHP5 CSS3 HTML JavaScript 1С-Битрикс Если вы хотите расти и развиваться вместе с нами – ждем вас на собеседование в нашем офисе!";" - работу в крупной стабильной компании; - сложные и интересные проекты, которыми можно гордиться; - реальную возможность карьерного роста; - работу в молодом дружном коллективе; - чай-кофе в нашем офисе – в неограниченном количестве. Итоговая зарплата определяется по результатам собеседования в зависимости от вашей квалификации. Условия: - Полный рабочий день, 5/2 - Полная занятость Ключевые навыки: PHP5 CSS3 HTML JavaScript 1С-Битрикс Если вы хотите расти и развиваться вместе с нами – ждем вас на собеседование в нашем офисе!";Требуемый опыт работы: 3–6 лет (рассмотрим кандидатов с меньшим опытом, но огромным желанием учиться и работать). Требования: - Опыт работы...;В числе наших клиентов: - строительные компании и др.;"HTML; JavaScript; 1С-Битрикс; PHP; CSS";1.0
13;25;34035471;PHP-программист;Челябинск;40000.0;80000.0;Максимал;2019-10-11T09:13:06+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Мы ожидаем, что вы:  Знаете php; Знаете, что такое git и как с этим жить Работали с одним из популярных фреймворком Yii, Symfony, Laravel, Zend, Phalcon Понимаете, что такое ООП, и умеете применять на практике основные паттерны; Уверенно пишете SQL и умеете оптимизировать запросы; Понимаете, как устроен HTTP; Знакомы с Linux и умеете работать с командной строкой;  Мы будем рады, если вы:  Работали с фреймворком Phalcon; Имеете опыт работы с инструментами профилирования, дебага. Умеете пользоваться инструментами мониторинга, например, Grafana; Понимаете архитектуру высоконагруженных систем;  Условия работы:  Официальное оформление в компании; Плавающее начало рабочего дня; Бесплатные обеды в офисе, неограниченные чай/кофе/газировка.   ";;Понимаете, что такое ООП, и умеете применять на практике основные паттерны. Уверенно пишете SQL и умеете оптимизировать запросы. ;Работали с фреймворком Phalcon.;"Git; Linux; PHP; Phalcon; SQL";8.0
