;Index;id;name;city;min_salary;max_salary;company;published_at;experience;schedule;employment;description;conditions;requirement;responsibility;key_skills;days
0;41;33980933;Web-программист;Санкт-Петербург;100000.0;200000.0;Alloy Software Inc.;2019-10-17T13:58:53+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;"Требования: Frontend:  Знание современного JavaScript (ES6+) Знание CSS Опыт работы с одним из фрейворков frontend разработки (React/Angular/Vue)  Backend:  Опыт работы с .NET Core или .NET Framework 4+  Будет плюсом:  Опыт работы с JQuery; Опыт работы с extJS; Опыт разработки стилей с использованием LESS или SASS/SCSS;  Обязанности:  Работа в составе группы WEB разработки: разработка новых и поддержка существующих приложений Участие в сопровождении приложений и инфрастуктуры разработки Совместная работа с другими группами, участвующими в разработке  Условия:  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможность работы в офисе и удаленной работы Корпоративные мероприятия и активный досуг (картинг‚ боулинг‚ загородный отдых) Компенсация расходов на профессиональное обучение, спорт ";  Оформление в соответствии с ТК РФ Гибкий график работы (возможность выбора начала и окончания рабочего дня) Возможность работы в офисе и удаленной работы Корпоративные мероприятия и активный досуг (картинг‚ боулинг‚ загородный отдых) Компенсация расходов на профессиональное обучение, спорт ;Знание современного JavaScript (ES6+). Знание CSS. Опыт работы с одним из фрейворков frontend разработки (React/Angular/Vue). ;Работа в составе группы WEB разработки: разработка новых и поддержка существующих приложений. Участие в сопровождении приложений и инфрастуктуры разработки. ;.NET Core, Angular;1.0
1;22;33661157;Web-программист;Новосибирск;120000.0;200000.0;Холдинг Монастырев;2019-10-16T06:38:51+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Мы расширяем IT - команду, присоединяйся! Чем предстоит заниматься:  Разработка высоконагруженных, масштабируемых, безопасных сайтов и веб-сервисов. Выбор стэка технологий и разработка архитектуры проекта. Проведение код-ревью и ревью дизайна проектов на соответствие архитектурным стандартам.  Мы подходим друг другу, если у тебя есть:  опыт в разработке архитектуры, выборе стэка технологий и проектировании сайтов и веб-сервисов; опыт работы с PostgreSQL/MySQL/NoSQL и BigData; опыт работы Redis; опыт работы с одним из PHP фреймворков Symfony/Yii/Laravel; опыт работы с одним из фронтэнд фрэймворков Angular/React/Ember.  Преимущества работы в нашей команде:  работаем в белую: 36 дней отпуска, полностью официальная зарплата; удобный рабочий график + в пятницу уходим с работы на час раньше; современные рабочие места, комфортные бытовые условия; компенсация 100% внешнего обучения и бесплатное участие во внутренних корпоративных тренингах; активная корпоративная жизнь: спортивные мероприятия, тимбилдинги, праздники и участие в благотворительных акциях; интересные и амбициозные задачи. ";;Опыт в разработке архитектуры, выборе стэка технологий и проектировании сайтов и веб-сервисов. Опыт работы с PostgreSQL/MySQL/NoSQL и...;Разработка высоконагруженных, масштабируемых, безопасных сайтов и веб-сервисов. Выбор стэка технологий и разработка архитектуры проекта. Проведение код-ревью и ревью...;" CSS; JavaScript; MySQL; HTML; PHP";3.0
2;37;34163448;Senior Fullstack web developer;Омск;45771.33;200000.0;Николь, Торговая фирма;2019-10-18T14:23:19+0300;Нет опыта;Полный день;Полная занятость;"Мы – крупнейшая компания за Уралом по продаже автокомпонентов, ищем в свою команду опытного разработчика-наставника для реализации web проекта в сфере B2b и обучения небольшой команды junior разработчиков. Требуемые навыки:  Опыт работы с С#, .NET, ASP.NET MVC, API, ORM Опыт работы с одним из фронтэнд фреймворков: Angular, React, Vue Опыт работы с системами контроля версий Опыт коммерческой разработки Опыт работы в команде  Желательно:  Опыт работы с .NET Core, ASP.NET Core MVC, Azure Опыт работы в команде с ролью наставника  Обязанности: - проектировать и разрабатывать веб-сервис b2b в сфере продажи автозапчастей; - работать в команде с аналитиками; - делиться опытом с младшими коллегами, быть наставником, активно участвовать в code review; - обеспечивать стабильность и производительность решения, разрабатываемого командой. Условия работы:• Работа в крупнейшей компании за Уралом по продаже автокомпонентов;• Большие возможности для профессионального роста и реализации идей;• Возможность формирования индивидуальной мотивации;• График работы ПН-ПТ с 9:00 до 17:30;• Оформление согласно ТК РФ с первого дня работы;• Корпоративные мероприятия для сотрудников и членов их семей (100% оплачивает работодатель);• Доставка транспортом компании от 21 Амурской до места работы;• Премирование сотрудников за стаж работы в компании;• Корпоративные скидки на продукцию компании;• Наличие программы ДМС  Заработная плата определяется по итогам собеседования с руководителем.   Обратите внимание на месторасположение офиса, его удаленность. ТФ Николь является лидером в своей сфере, входит в 100 крупнейших компаний г. Омска, дата основания 15 июля 1995 г. Более подробная информация о нашей деятельности размещена на официальном сайте. УВАЖАЕМЫЙ СОИСКАТЕЛЬ! Благодарим Вас за интерес, проявленный к нашей Компании.  ";;Требуемые навыки: Опыт работы с С#, .NET, ASP.NET MVC, API, ORM. Опыт работы с одним из фронтэнд фреймворков: Angular, React...;проектировать и разрабатывать веб-сервис b2b в сфере продажи автозапчастей. - работать в команде с аналитиками. - обеспечивать стабильность и...;" CSS; JavaScript; MySQL; HTML; PHP";0.0
3;97;34073415;Веб-разработчик / Web developer;Москва;120000.0;180000.0;FUSION CORE;2019-10-17T14:15:50+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Fusion Core - игровая студия, активно развивающаяся на международном рынке социальных и мобильных ММО стратегий. Мы являемся разработчиками нескольких популярных игр, каждая из которых вошла в лидеры игровых проектов Рунета и Facebook. Задачи, которые предстоит решать:   Разрабатывать игровой сайт и игровой портал;   Разрабатывать различные игровые сервисы: сервисы уведомлений, транзакций и другие;   Разрабатывать функционал взаимодействия с социальными сетями (fb, steam, vk, od, mm,..);   Заниматься интеграцией рекламных, платежных контрагентов;   Участвовать в разработке проекта игровой аналитики;   Настраивать и анализировать мониторинг проектов (Kibana, Grafana, Prometheus);   Проводить код-ревью, участвовать в технических обсуждениях.       Для работы понадобится:   PHP. Желателен опыт работы с одним из популярных фреймворков (Yii / Phalcon);   HTML, CSS, JS (кроссплатформенная верстка);   TypeScript, ReactJS / Vue.js (базовое понимание);   Желателен опыт разработки на Node.js;   Базовые навыки администрирования Linux (Ubuntu). Желателен опыт работы с Docker и Nginx;   Математическое / техническое образование;   Опыт работы на аналогичной позиции - от 1 года.   Мы предлагаем:   Комфортный офис в центре Москвы;   Классный коллектив и неформальная обстановка;   Помощь в релокации;   Кофе, фрукты, снеки, кальяны и игровые консоли в зоне отдыха и корпоративные вечеринки каждый месяц;   Возможность профессионального обучения за счет компании (закупка литературы, курсы, посещение конференций, митапов и тд);   100% компенсация заработной платы на время больничного;   Ежегодное премирование;   Гибкая система отгулов;   Расширенный ДМС-полис (включая стоматологию);   Полностью официальное оформление;   График 10.00 - 19.00 (удаленка не рассматривается)   В вакансии прописана нижняя граница зарплатной вилки!  ";"   Комфортный офис в центре Москвы;   Классный коллектив и неформальная обстановка;   Помощь в релокации;   Кофе, фрукты, снеки, кальяны и игровые консоли в зоне отдыха и корпоративные вечеринки каждый месяц;   Возможность профессионального обучения за счет компании (закупка литературы, курсы, посещение конференций, митапов и тд);   100% компенсация заработной платы на время больничного;   Ежегодное премирование;   Гибкая система отгулов;   Расширенный ДМС-полис (включая стоматологию);   Полностью официальное оформление;   График 10.00 - 19.00 (удаленка не рассматривается)   В вакансии прописана нижняя граница зарплатной вилки!  ";Для работы понадобится: PHP. Желателен опыт работы с одним из популярных фреймворков (Yii / Phalcon). HTML, CSS, JS (кроссплатформенная верстка). ;Разрабатывать игровой сайт и игровой портал. Разрабатывать различные игровые сервисы: сервисы уведомлений, транзакций и другие. Разрабатывать функционал взаимодействия с социальными...;"Web Application Development; backend; frontend; PHP; JavaScript; Linux; Nginx";1.0
4;13;32920451;Senior PHP разработчик / веб программист;Санкт-Петербург;140000.0;180000.0;НаПоправку.ру;2019-10-18T11:31:40+0300;От 3 до 6 лет;Полный день;Полная занятость;"НаПоправку.ру - крупнейший медицинский онлайн-сервис в Петербурге и один из ключевых игроков в Москве. Для нас важно, что каждый день десятки тысяч людей в нашей стране могут решить свои проблемы со здоровьем, благодаря нашей работе. Мы хотим сделать медицину проще и дружелюбнее, изменив то, как люди выбирают врача и взаимодействуют с ним. Сейчас мы развиваем уникальный сервис реал-тайм записи для быстрой и удобной записи на прием к хорошему врачу онлайн. Впереди - мобильное приложение, телеконсультации и другие онлайн-сервисы, которые помогают быстрее решать проблемы со здоровьем. Мы ищем в команду опытного бэкэнд разработчика, который предпочитает возможности и драйв нового проекта предсказуемой карьере в крупной корпорации. Главные задачи на ближайший год   Разработать новую архитектуру базы данных и подготовить проект к высоким нагрузкам;   Перевести проект на микросервисную архитектуру;   Разработать REST API для мобильного приложения (IOS, Android);   Это вакансия для вас, если вы   Имеете большой опыт работы с мейнстрим PHP-фреймворками и MySQL;   Будет преимуществом опыт работы с NoSQL (Memcached/Redis/MongoDB/Tarantool), очередями, high load проектами;   Хотите не просто писать код, а делать классный продукт, который будет помогать людям и даже спасать жизни;   Умеете быстро разбираться в чужом коде и конструктивно с ним работать;   Не можете уснуть, пока не найдете решение для новой каверзной задачки.   Перед нами стоят различные задачи, как по бекенду, так и по фронтенду. Одно из важных требований к кандидатам - высокий уровень понимания, как устроено взаимодействие между ними - для успешного выполнения наших продуктовых задач. Нам хочется найти в свою команду специалиста мыслящего в терминах time to market, то есть чтобы новые фичи доходили до прода, как можно быстрее, а не застревали в тестировании. Мы за здоровый баланс между жизнью и работой. Завершить работу вовремя и пойти домой к семье - всегда в приоритете. Тем не менее, мы все работаем на результат - поэтому спринты должны заканчиваться к запланированному сроку. Вы всегда сами можете принять взвешенное решение, стоит ли сегодня задержаться, чтобы успеть в срок. Почему Вам надо идти к нам   Социально значимый проект, о котором можно с гордостью рассказать даже бабушке;   Много интересных и нестандартных технических задач;   Широкое поле для инициативы;   Молодая, веселая и динамичная команда единомышленников.   Приятные мелочи   Белая зарплата, размер обсуждается с успешным кандидатом;   Оплачиваемое профессиональное развитие – книги, онлайн курсы, семинары и конференции;   Фрукты, снеки, чай и кофе; возможность заказа ужина в офис и корпоративного такси для тех, кто задерживается на работе;   Гибкое начало рабочего дня;   Веселые корпоративы.  ";;Имеете большой опыт работы с мейнстрим PHP-фреймворками и MySQL. Будет преимуществом опыт работы с NoSQL (Memcached/Redis/MongoDB/Tarantool...;Разработать новую архитектуру базы данных и подготовить проект к высоким нагрузкам. Перевести проект на микросервисную архитектуру. Разработать REST API для...;"ООП; NoSQL; MySQL; JavaScript; PHP; Redis; Highload; Zend Framework; Laravel; Memcached";0.0
5;0;34165205;Веб-разработчик;Омск;77000.0;150000.0;Тамтэк;2019-10-18T15:25:11+0300;От 1 года до 3 лет;Полный день;Полная занятость;Ищем коллегу на позицию веб-разработчика. Российско-американская IT-компания “Тамтэк”, реализующая сложные проекты для заказчиков с мировым именем. Специализируемся на создании надежных высоконагруженных информационных систем. В 2018 году нам исполнилось 12 лет. Что обещаем: - работу в команде с опытными программистами, джедаями-архитекторами и другими причастными товарищами по оружию - современные технологии и инструменты как на сервере: NodeJS / Symfony / RoR / Drupal 8 - так и на клиенте: Angular 2+ / VueJS / React / EmberJS - гарантированный профессиональный рост - обучение: конференции, обучающие курсы, английский язык, индивидуальная программа развития А также: - теплую компанию профессионалов: всегда есть о чем поговорить - порядочных клиентов, у которых есть чему поучиться: ведущие американские компании и перспективные стартапы - участие в жизни компании: внутренние рабочие группы, блог, хобби/спорт - всегда на кухне: кофе-чай-печеньки-фрукты - выезды на природу, настольные игры и прочий корпоративный быт - высокая белая зарплата, социальный пакет на ваш выбор: ДМС, компенсация занятий спортом и стоимости спортивного инвентаря, санаторно-курортное лечение Что полезно уметь: - профессиональное владение одним из инструментов: NodeJS / Symfony / Django / Flask / RoR / Drupal 8 - хороший уровень Javascript (ES5/ES6+, closures, prototypes etc), реальный опыт работы с одним из современных фреймворков (Angular 2+, React, VueJS) - хорошие навыки верстки (CSS 3, media-queries, BEM) Чем будете заниматься: - реализовывать сложные и интересные проекты с помощью современных инструментов - общаться на английском: сбор требований, отчет о работе - искать решения вместе с заказчиком: анализ нечетких требований - держать марку: обзор кода, оптимизация, юнит-тестирование, непрерывная интеграция и деплой - иметь желание развиваться: изучать новые инструменты и технологии, в т.ч. в боевых условиях  ;;современные технологии и инструменты как на сервере: NodeJS / Symfony / RoR / Drupal 8. Что полезно уметь: - профессиональное владение одним из инструментов...;так и на клиенте: Angular 2+ / VueJS / React / EmberJS. - общаться на английском: сбор требований, отчет о работе. - ;" CSS; JavaScript; MySQL; HTML; PHP";0.0
6;65;34050191;Web-программист;Москва;80000.0;150000.0;Станкоинформзащита, НТЦ;2019-10-17T17:34:08+0300;От 1 года до 3 лет;Полный день;Полная занятость;"Обязанности:   разработка приложений для MS Azure и ему подобных, разработка соответствующих описаний и документации  Требования:  опыт разработки Web-сервисов и приложений; уверенное знание и опыт работы с Python; опыт работы с Java; приветствуется опыт работы с PHP, NodeJS, Go, Ruby ";;Опыт разработки Web-сервисов и приложений. Уверенное знание и опыт работы с Python. Опыт работы с Java. Приветствуется опыт работы...;Разработка приложений для MS Azure и ему подобных, разработка соответствующих описаний и документации.;" CSS; JavaScript; MySQL; HTML; PHP";1.0
7;43;33811671;Web-программист;Москва;90000.0;150000.0;Точка Оплаты;2019-10-18T15:14:25+0300;От 3 до 6 лет;Гибкий график;Полная занятость;Обязанности:  Доработка программного продукта Личный кабинет клиента (фронтенд), а также более мелких программных решений. Рефакторинг, исправление ошибок, добавление нового функционала. Покрытие узких участков кода юнит и функциональными тестами (система тестирования разработана, но тестами покрыта лишь небольшая часть кода, поэтому требуется постепенно дописывать тесты для нового функционала и того функционала, который затрагивается правками).  Требования:  Хорошее знание PHP, Javascript, JQuery, HTML, CSS. Приветствуется опыт работы со Smarty, Less, Mustache, Bootstrap, Ajax, Git, Bitrix. Опыт работы с вышеуказанными технологиями от 3 лет, при этом общий опыт в программировании не меньше 5 лет (можно рассмотреть от 3 лет, если есть образование в сфере IT). Для нас важны аккуратность кода, любовь к порядку, рефакторингу. Приветствуется перфекционизм и эстетика.  Условия:  Мы небольшая компания (с большой историей), занимаемся процессированием платежей, создаем решения для финансовых организаций. Создаем решения на разных платформах и языках программирования, в том числе разрабатываем и поддерживаем программное обеспечение для банкоматов, мобильных устройств, софт под windows, freebsd. Стремимся к созданию программных продуктов, которые нужны людям. Стараемся создавать для сотрудников комфортные условия. Ценим и уважаем разработчиков и их труд. Учитываем обстоятельства и пожелания. Идем навстречу в вопросах графика, иногда можно работать из дома.  Будет очень здорово, если вы вместе с откликом на резюме пришлете ссылку на примеры вашего кода.;  Мы небольшая компания (с большой историей), занимаемся процессированием платежей, создаем решения для финансовых организаций. Создаем решения на разных платформах и языках программирования, в том числе разрабатываем и поддерживаем программное обеспечение для банкоматов, мобильных устройств, софт под windows, freebsd. Стремимся к созданию программных продуктов, которые нужны людям. Стараемся создавать для сотрудников комфортные условия. Ценим и уважаем разработчиков и их труд. Учитываем обстоятельства и пожелания. Идем навстречу в вопросах графика, иногда можно работать из дома.  Будет очень здорово, если вы вместе с откликом на резюме пришлете ссылку на примеры вашего кода.;Хорошее знание PHP, Javascript, JQuery, HTML, CSS. Приветствуется опыт работы со Smarty, Less, Mustache, Bootstrap, Ajax, Git, Bitrix. ;"Доработка программного продукта &quot;Личный кабинет клиента&quot; (фронтенд), а также более мелких программных решений. Рефакторинг, исправление ошибок, добавление нового функционала. ";"JavaScript; jQuery; PHP; HTML; CSS; Bootstrap";0.0
8;86;34148365;Full Stack Web Developer;Самара;70000.0;140000.0;NEW TECHNOLOGIES LP;2019-10-17T17:28:58+0300;От 1 года до 3 лет;Полный день;Полная занятость;ИТ-компания New Technologies обустраивает штаб квартиру в Самаре. Мы разрабатываем сервис знакомств, в котором пользователю будет удобно и приятно искать новых друзей или свою половинку. Мы ищем разработчика, способного брать на себя ответственность, принимать взвешенные решения, активно участвовать в проекте. Обязанности:  Разработка высоконагруженных проектов. Разработка новых и развитие существующих веб-сервисов. Разработка инструментов, которые приносят пользу конечным пользователям. Сопровождение и развитие существующих баз данных. Разработка API для интеграции с внешними ресурсами. Рефакторинг и оптимизация кода. Участие в тестировании веб-сервисов и исправлении дефектов. Обеспечение безопасности, производительности, масштабируемости и отказоустойчивости полученных решений. Работа в команде, участие в ежедневных планерках, обсуждениях задач. Участие в подготовке документации.  Требования:  Опыт работы с nginx и Apache HTTP Server. Отличное знание PHP. Знание Java и JavaScript. Отличное знание HTML5 и CSS3. Опыт работы с Laravel или другим MVC framework. Знание MySQL. Владение консолью Linux и системами контроля версий. Знание английского языка. Умение внятно выражать свои мысли устно и письменно. Умение адекватно оценивать сроки на реализацию той или иной задачи. Умения принимать самостоятельные решения. Умение разбираться в чужом коде, наличие навыков документирования кода и рефакторинга.  Условия:  Справедливая зарплата без задержек (два раза в месяц) по результатам собеседования и вашей квалификации. Работа в комфортном офисе с современной техникой и отличным видом на город в минуте ходьбы от транспортной развязки «Поляна им. Фрунзе». Оформление по договору гражданско-правового характера. ;  Справедливая зарплата без задержек (два раза в месяц) по результатам собеседования и вашей квалификации. Работа в комфортном офисе с современной техникой и отличным видом на город в минуте ходьбы от транспортной развязки «Поляна им. Фрунзе». Оформление по договору гражданско-правового характера. ;Опыт работы с nginx и Apache HTTP Server. Отличное знание PHP. Знание Java и JavaScript. Отличное знание HTML5 и...;Разработка высоконагруженных проектов. Разработка новых и развитие существующих веб-сервисов. Разработка инструментов, которые приносят пользу конечным пользователям. Сопровождение и развитие...;"MySQL; JavaScript; Linux; MVC; PHP; HTML; Java; CSS";1.0
9;17;33936108;Fullstack веб-разработчик (Дальний Восток/Сибирь);Новосибирск;80000.0;130000.0;Conjoint.ly;2019-10-17T21:12:46+0300;От 3 до 6 лет;Полный день;Полная занятость;Наша небольшая команда занимаемся разработкой сервиса для маркетинговых исследований. Нам требуется надёжный full-stack веб-разработчик для внедрения новых функций и рефакторинга. Работа на постоянной удаленной основе. ﻿Обратите внимание!﻿﻿ Мы рассматриваем заявки от соискателей, которые живут только ﻿по часовому поясу от Новосибирска до Чукотки и НЕ являются агенством или студией по подбору персонала﻿. Обязательные технические умения:  Умение развернуть и настроить окружение Apache, PHP, MySQL PHP 7.x (ООП) с одним из бек-енд фреймворков (например, Laravel, Yii2, Slim) Vue.js, JavaScript (JQuery), HTML5, CSS Опыт разработки UI с использованием Bootstrap Git (GitHub)  Желательный технический опыт работы с:  MySQL (проектирование, оптимизация БД) Twig (шаблонизатор) API (например, Amazon, Google) Понимание, как работает протокол HTTP(S)  Требуемые навыки по работе:  Написание понятного объектно-ориентированного кода Использовать рефакторинг, и производить его, когда это необходимо Привычка учитывать уязвимости и методы безопасности, от HTTP-запроса и до БД Умение оценить объем и время выполнения задачи Умение работать с чужим кодом  Административные моменты:  Работа на постоянной удаленной основе в расчете на полный рабочий день Быть на связи в течение вашего рабочего дня, используем Slack и Skype. Работать по часовому поясу от Благовещенска до Чукотки Готовность выполнить небольшое тестовое задание (один или два дня за оплату при выполненной задаче) Готовность подписать договор о неразглашении  Бонусы  Интересная и разнообразная работа, на передовой маркетинговых исследований Стабильная занятость в маленькой, приятной команде Хорошая зарплата и бонусы за качественный, безбаговый код ;;Обязательные технические умения: Умение развернуть и настроить окружение Apache, PHP, MySQL. PHP 7.x (ООП) с одним из бек-енд...;MySQL (проектирование, оптимизация БД). Написание понятного объектно-ориентированного кода. Административные моменты:;"Vue.js; CSS; Git; JavaScript; MySQL; HTML5; PHP; Bootstrap; HTML; Apache HTTP Server";1.0
10;78;32471795;Php разработчик / веб программист;Санкт-Петербург;90000.0;130000.0;НаПоправку.ру;2019-10-18T23:56:35+0300;От 3 до 6 лет;Полный день;Полная занятость;"НаПоправку.ру - крупнейший медицинский онлайн-сервис в Петербурге и один из ключевых игроков в Москве. Для нас важно, что каждый день десятки тысяч людей в нашей стране могут решить свои проблемы со здоровьем, благодаря нашей работе. Мы хотим сделать медицину проще и дружелюбнее, изменив то, как люди выбирают врача и взаимодействуют с ним. Сейчас мы развиваем уникальный сервис реал-тайм записи для быстрой и удобной записи на прием к хорошему врачу онлайн. Впереди - мобильное приложение, телеконсультации и другие онлайн-сервисы, которые помогают быстрее решать проблемы со здоровьем. Мы ищем в команду талантливого fullstack разработчика, который предпочитает возможности и драйв нового проекта предсказуемой карьере в крупной корпорации. Это вакансия для вас, если вы:   Имеете опыт работы с мейнстрим PHP-фреймворками и MySQL;   Будет преимуществом опыт работы с NoSQL (Redis/MongoDB), highload проектами, очередями;   У вас горят глаза и светлая голова;   Хотите не просто писать код и прокачивать свои скилы, а делать классный продукт, который будет помогать людям и даже спасать жизни;   Умеете быстро разбираться в чужом коде и конструктивно с ним работать.   Перед нами стоят различные задачи, как по бекенду, так и по фронтенду. Одно из важных требований к кандидатам - высокий уровень понимания, как устроено взаимодействие между ними - для успешного выполнения наших продуктовых задач. Нам хочется найти в свою команду специалиста мыслящего в терминах time to market, то есть чтобы новые фичи доходили до прода, как можно быстрее, а не застревали в тестировании. Мы за здоровый баланс между жизнью и работой. Завершить работу вовремя и пойти домой к семье - всегда в приоритете. Тем не менее, мы все работаем на результат - поэтому спринты должны заканчиваться к запланированному сроку. Вы всегда сами можете принять взвешенное решение, стоит ли сегодня задержаться, чтобы успеть в срок. Почему Вам надо идти к нам:   Социально значимый проект, о котором можно с гордостью рассказать даже бабушке;   Много интересных и нестандартных технических задач;   У нас есть чему и у кого поучиться;   Быстрый профессиональный рост - границы роста ограничиваются только вашими способностями;   Молодая, веселая и динамичная команда единомышленников.   Приятные мелочи   Белая зарплата, размер обсуждается с успешным кандидатом;   Оплачиваемое профессиональное развитие – книги, онлайн курсы, семинары и конференции;   Фрукты, снеки, чай и кофе; возможность заказа ужина в офис и корпоративного такси для тех, кто задерживается на работе;   Гибкое начало рабочего дня;   Веселые корпоративы.  ";;Умеете быстро разбираться в чужом коде и конструктивно с ним работать.;;"ООП; PHP; MySQL; Zend Framework; Laravel; JavaScript; Git; Jetbrains Phpstorm";0.0
11;28;34011537;Fullstack программист (PHP, JavaScript);Москва;100000.0;130000.0;Мир Магнитов;2019-10-18T22:08:47+0300;От 3 до 6 лет;Удаленная работа;Полная занятость;"Магниты? Это те, что на холодильнике? Сувенирный магазинчик? Как на этом заработать? - спросите вы.   Здравствуйте! Меня зовут Дмитрий, я являюсь руководителем web-отдела в компании Мир магнитов.   Нашей компании уже более 12 лет! Мы занимаем лидирующую позицию на Российском рынке в сфере магнитной продукции! У нас есть собственная торговая марка Forceberg, под которой мы производим ряд товаров массового спроса, данная продукция распространяется в розничных магазинах по России и ближнему зарубежью.   Нас не сломил ни кризис, ни ослабление рубля к доллару, ни причуды наших законодателей. Мы - сильная команда профессионалов, каждый из которых нам очень дорог и ценен, нацеленная на прогресс!   У нас нет скучной работы и нет бездельников - это движитель нашего роста. Наш штат состоит из 60+ человек, 8 из которых входят в число безумных и гениальных (или, если угодно, безумно гениальных) IT-шников, с которыми вам и предстоит работать.   Кого мы ищем:  Профессионала, желающего расти и пробовать новое; Личность, готового влиться в командную ответственность; Мы - не студия, у нас нет конвейера типовых задач. Мы работаем над собственными проектами, каждый наш шаг - что-то новое;    Требования:  Опыт в качестве PHP-разработчика не менее 3х лет; Уверенные знания PHP; Базовые знания JavaScript; Базовые знания SQL; Не бояться Linux; GIT.    Условия работы:  Удаленно; Адекватное руководство, НЕ бюрократизированная компания; Оклад + квартальная премия после прохождения испытательного срока; График работы 5/2 09:00 - 18:00. ";;Личность, готового влиться в командную ответственность. Опыт в качестве PHP-<highlighttext>разработчика</highlighttext> не менее 3х лет. Уверенные знания PHP. ;;" CSS; JavaScript; MySQL; HTML; PHP";0.0
